# res(1/A),AA_denss/AA_denss_0_aligned,AA_denss/AA_denss_1_aligned,AA_denss/AA_denss_2_aligned,AA_denss/AA_denss_3_aligned,AA_denss/AA_denss_4_aligned,AA_denss/AA_denss_5_aligned,AA_denss/AA_denss_6_aligned,AA_denss/AA_denss_7_aligned,AA_denss/AA_denss_8_aligned,AA_denss/AA_denss_9_aligned,AA_denss/AA_denss_10_aligned,AA_denss/AA_denss_11_aligned,AA_denss/AA_denss_12_aligned,AA_denss/AA_denss_13_aligned,AA_denss/AA_denss_14_aligned,AA_denss/AA_denss_15_aligned,AA_denss/AA_denss_16_aligned,AA_denss/AA_denss_17_aligned,AA_denss/AA_denss_18_aligned,AA_denss/AA_denss_19_aligned
0.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00
1.99944e-03 9.99941e-01 9.99679e-01 9.98499e-01 9.97276e-01 9.99492e-01 9.98150e-01 9.96885e-01 9.98222e-01 9.99269e-01 9.97169e-01 9.99752e-01 9.97494e-01 9.98860e-01 9.99633e-01 9.97035e-01 9.98373e-01 9.98468e-01 9.99894e-01 9.99561e-01 9.97172e-01
3.99889e-03 9.99650e-01 9.99035e-01 9.96038e-01 9.92827e-01 9.98633e-01 9.95620e-01 9.93083e-01 9.95142e-01 9.98064e-01 9.91676e-01 9.99178e-01 9.94120e-01 9.95603e-01 9.98714e-01 9.91383e-01 9.96245e-01 9.95989e-01 9.99635e-01 9.98324e-01 9.91407e-01
5.99833e-03 9.98370e-01 9.97455e-01 9.92402e-01 9.87399e-01 9.96745e-01 9.93062e-01 9.90676e-01 9.90526e-01 9.96069e-01 9.82259e-01 9.97946e-01 9.90326e-01 9.86817e-01 9.96330e-01 9.82098e-01 9.94422e-01 9.92308e-01 9.98859e-01 9.94746e-01 9.79019e-01
7.99777e-03 9.94662e-01 9.93743e-01 9.87538e-01 9.81538e-01 9.90832e-01 9.89918e-01 9.89792e-01 9.84885e-01 9.92496e-01 9.68103e-01 9.95523e-01 9.83711e-01 9.69339e-01 9.91611e-01 9.67584e-01 9.91367e-01 9.86097e-01 9.96596e-01 9.86103e-01 9.53404e-01
9.99721e-03 9.86186e-01 9.85857e-01 9.77850e-01 9.73899e-01 9.76569e-01 9.81781e-01 9.87261e-01 9.77140e-01 9.85153e-01 9.48557e-01 9.91368e-01 9.68412e-01 9.43436e-01 9.83144e-01 9.47889e-01 9.82637e-01 9.71989e-01 9.91059e-01 9.68526e-01 9.05980e-01
1.19967e-02 9.75171e-01 9.73144e-01 9.59789e-01 9.62236e-01 9.53364e-01 9.62724e-01 9.77942e-01 9.68028e-01 9.71142e-01 9.25846e-01 9.84944e-01 9.44897e-01 9.19139e-01 9.73150e-01 9.20404e-01 9.63726e-01 9.45415e-01 9.80446e-01 9.43294e-01 8.54475e-01
1.39961e-02 9.64382e-01 9.58066e-01 9.30214e-01 9.45931e-01 9.27778e-01 9.31599e-01 9.58513e-01 9.54324e-01 9.50850e-01 9.01909e-01 9.76905e-01 9.20362e-01 9.08259e-01 9.62498e-01 8.90898e-01 9.34975e-01 8.99129e-01 9.65505e-01 9.17474e-01 8.06183e-01
1.59955e-02 9.56397e-01 9.37219e-01 8.87476e-01 9.18930e-01 9.03459e-01 8.87544e-01 9.22264e-01 9.34214e-01 9.21260e-01 8.73389e-01 9.66634e-01 8.92283e-01 9.07245e-01 9.44555e-01 8.51102e-01 8.97721e-01 8.34726e-01 9.43709e-01 8.93996e-01 7.80938e-01
1.79950e-02 9.48949e-01 9.09673e-01 8.38681e-01 8.83336e-01 8.82220e-01 8.34947e-01 8.65718e-01 9.02401e-01 8.81221e-01 8.40485e-01 9.54867e-01 8.53376e-01 9.03668e-01 9.15535e-01 8.02613e-01 8.51524e-01 7.58545e-01 9.16627e-01 8.76091e-01 7.72707e-01
1.99944e-02 9.31408e-01 8.73135e-01 7.87003e-01 8.30598e-01 8.63907e-01 7.78466e-01 8.02329e-01 8.58113e-01 8.37474e-01 8.05478e-01 9.43762e-01 7.99905e-01 8.82384e-01 8.76998e-01 7.54450e-01 7.89732e-01 6.84207e-01 8.85936e-01 8.56786e-01 7.64662e-01
2.19939e-02 8.94542e-01 8.23407e-01 7.22398e-01 7.64894e-01 8.33939e-01 7.03219e-01 7.29563e-01 7.87014e-01 7.80011e-01 7.66685e-01 9.22685e-01 7.11635e-01 8.30329e-01 8.22862e-01 6.87449e-01 7.18159e-01 6.11210e-01 8.38528e-01 8.20086e-01 7.37145e-01
