frame,other_coefficient,main_candidate_coefficient
1.200000000000000000e+02,9.598127843447566698e-03,0.000000000000000000e+00
1.210000000000000000e+02,1.081292022248956687e-02,0.000000000000000000e+00
1.220000000000000000e+02,1.325536624481880171e-02,0.000000000000000000e+00
1.230000000000000000e+02,1.112015416214930455e-02,0.000000000000000000e+00
1.240000000000000000e+02,1.297348566452872012e-02,0.000000000000000000e+00
1.250000000000000000e+02,1.292968776816181067e-02,0.000000000000000000e+00
1.260000000000000000e+02,2.313383369098812384e-02,0.000000000000000000e+00
1.270000000000000000e+02,1.846074027868904732e-02,0.000000000000000000e+00
1.280000000000000000e+02,1.753421926797896907e-02,0.000000000000000000e+00
1.290000000000000000e+02,2.278681769528499018e-02,0.000000000000000000e+00
1.300000000000000000e+02,2.418556361534600005e-02,0.000000000000000000e+00
1.310000000000000000e+02,2.117191328275389375e-02,0.000000000000000000e+00
1.320000000000000000e+02,2.860258235875738284e-02,0.000000000000000000e+00
1.330000000000000000e+02,2.256338574406489481e-02,0.000000000000000000e+00
1.340000000000000000e+02,2.534584748571787685e-02,0.000000000000000000e+00
1.350000000000000000e+02,2.899654900342027788e-02,0.000000000000000000e+00
1.360000000000000000e+02,3.165281316771487163e-02,0.000000000000000000e+00
1.370000000000000000e+02,2.883251515443586641e-02,0.000000000000000000e+00
1.380000000000000000e+02,3.336893072040161140e-02,0.000000000000000000e+00
1.390000000000000000e+02,3.703453431612486330e-02,0.000000000000000000e+00
1.400000000000000000e+02,3.941677617446336795e-02,2.335715673385076359e-03
1.410000000000000000e+02,3.305492686645455230e-02,4.546991890450496551e-03
1.420000000000000000e+02,3.558050555423422634e-02,3.822664435779690034e-03
1.430000000000000000e+02,3.369964693254148130e-02,4.037482128437287938e-03
1.440000000000000000e+02,3.110597621764314355e-02,5.172362808649487442e-03
1.450000000000000000e+02,3.513650910425715479e-02,3.911740209590544928e-03
1.460000000000000000e+02,3.413387858935566094e-02,3.618829446510959339e-03
1.470000000000000000e+02,3.124128859666328029e-02,3.657881703053777068e-03
1.480000000000000000e+02,2.218041469179789921e-02,5.939073687362749626e-03
1.490000000000000000e+02,2.387762362193273508e-02,4.750962919670313062e-03
1.500000000000000000e+02,2.062938802500642599e-02,5.455674304686121585e-03
1.510000000000000000e+02,2.150519498632497487e-02,4.385000045770586115e-03
1.520000000000000000e+02,2.136600900155632282e-02,4.369255881642691852e-03
1.530000000000000000e+02,1.592242566185494632e-02,6.176001160094687047e-03
1.540000000000000000e+02,1.615548803037331754e-02,6.890336975919910366e-03
1.550000000000000000e+02,1.062656441154122798e-02,1.058571416495445242e-02
1.560000000000000000e+02,1.317304269512327777e-02,1.345414425586062557e-02
1.570000000000000000e+02,1.556572407365140916e-02,1.706088888585230098e-02
1.580000000000000000e+02,8.192399022351422311e-03,2.403244935351844455e-02
1.590000000000000000e+02,1.399383255631110427e-02,2.714272096570613524e-02
1.600000000000000000e+02,9.357112795149561540e-03,3.307114952990279633e-02
1.610000000000000000e+02,8.699149580627053152e-03,3.718685411281528325e-02
1.620000000000000000e+02,7.709534610851703947e-03,4.065032722317200864e-02
1.630000000000000000e+02,8.446954011422811923e-03,4.280863692462340969e-02
1.640000000000000000e+02,1.060603937570709678e-02,4.329141521992679875e-02
1.650000000000000000e+02,6.940024986306659108e-03,4.599070623630972104e-02
1.660000000000000000e+02,8.583035304521410835e-03,4.531325325229052653e-02
1.670000000000000000e+02,3.763714719892913112e-03,4.621150482507774271e-02
1.680000000000000000e+02,6.077238128980008529e-03,4.425278744716637513e-02
1.690000000000000000e+02,5.249030443001853098e-03,4.269676370813808852e-02
1.700000000000000000e+02,0.000000000000000000e+00,4.353896650441668736e-02
1.710000000000000000e+02,7.012824391533843509e-03,3.779072137580708618e-02
1.720000000000000000e+02,3.151652717279219106e-03,3.670325871296369752e-02
1.730000000000000000e+02,0.000000000000000000e+00,3.489950924267545829e-02
1.740000000000000000e+02,3.486086434013415270e-03,3.113851229582810867e-02
1.750000000000000000e+02,0.000000000000000000e+00,2.972774955738908056e-02
1.760000000000000000e+02,0.000000000000000000e+00,2.558629625149104123e-02
1.770000000000000000e+02,0.000000000000000000e+00,2.365716252199893260e-02
1.780000000000000000e+02,0.000000000000000000e+00,2.198066163247951871e-02
1.790000000000000000e+02,0.000000000000000000e+00,1.786801204512712682e-02
1.800000000000000000e+02,0.000000000000000000e+00,1.695816529903848568e-02
1.810000000000000000e+02,0.000000000000000000e+00,1.484743870126616072e-02
1.820000000000000000e+02,0.000000000000000000e+00,1.218088180932730587e-02
1.830000000000000000e+02,0.000000000000000000e+00,1.101656217600636978e-02
1.840000000000000000e+02,0.000000000000000000e+00,9.482099528072667968e-03
1.850000000000000000e+02,0.000000000000000000e+00,8.397098037901002190e-03
1.860000000000000000e+02,0.000000000000000000e+00,7.030556230406013150e-03
1.870000000000000000e+02,0.000000000000000000e+00,6.392038144519018340e-03
1.880000000000000000e+02,0.000000000000000000e+00,4.974176632564890517e-03
1.890000000000000000e+02,0.000000000000000000e+00,4.473386158858358094e-03
1.900000000000000000e+02,0.000000000000000000e+00,3.385845954199300043e-03
1.910000000000000000e+02,0.000000000000000000e+00,2.569247891740616008e-03
1.920000000000000000e+02,0.000000000000000000e+00,2.399523798872916364e-03
1.930000000000000000e+02,0.000000000000000000e+00,2.840630888710354244e-03
1.940000000000000000e+02,0.000000000000000000e+00,1.215571273433494522e-03
1.950000000000000000e+02,0.000000000000000000e+00,1.037373930549223468e-03
1.960000000000000000e+02,0.000000000000000000e+00,1.154750886996754869e-03
1.970000000000000000e+02,0.000000000000000000e+00,4.807493926293160912e-04
1.980000000000000000e+02,0.000000000000000000e+00,9.240106576375702258e-04
1.990000000000000000e+02,0.000000000000000000e+00,5.929196863424682305e-04
2.000000000000000000e+02,0.000000000000000000e+00,1.934190388403445276e-04
2.010000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.020000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.030000000000000000e+02,0.000000000000000000e+00,1.166884257642025313e-03
2.040000000000000000e+02,0.000000000000000000e+00,5.765301079496048869e-04
2.050000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
