# q I conditional_sigma_fixed_C_no_cross_frame_covariance
6.000000000000000125e-03 1.079921878398934894e+02 2.046097361751909318e+02
7.000000000000000146e-03 1.108868250911773146e+02 9.555733022688735900e+01
8.000000000000000167e-03 2.229722988923938587e+01 5.866288870797333743e+01
9.000000000000001055e-03 -2.365782766818823291e+01 3.825394214934770076e+01
1.000000000000000021e-02 -3.506891285118770440e+01 2.842747831636382472e+01
1.099999999999999936e-02 3.516227812109821826e+01 2.333930592133557980e+01
1.200000000000000025e-02 2.022650902690657304e+01 2.000815616740333880e+01
1.300000000000000114e-02 3.188518581987434430e+01 1.757559515413928253e+01
1.400000000000000203e-02 -9.145868550088561477e+00 1.589183915041703621e+01
1.499999999999999944e-02 5.606423060829878402e+00 1.444471435462858722e+01
1.600000000000000033e-02 -2.354572414507809697e+01 1.312419853566283123e+01
1.700000000000000122e-02 -1.050149097868401071e+01 1.194311791552678415e+01
1.800000000000000211e-02 -4.871475241780843568e+00 1.107253891320947936e+01
1.899999999999999953e-02 2.936529767095949950e+01 1.071396494140594591e+01
2.000000000000000042e-02 1.205166312397728312e+01 1.009090730013315707e+01
2.100000000000000130e-02 -8.525414816161775988e+00 9.540382894829592786e+00
2.200000000000000219e-02 1.090778769561898365e+01 9.139576774741588139e+00
2.300000000000000308e-02 6.721489985526589273e+00 8.771283031021338772e+00
2.400000000000000050e-02 6.800039947369720394e+00 8.392519487493428798e+00
2.500000000000000139e-02 4.293005044541819970e+00 8.166087147351953845e+00
2.600000000000000228e-02 1.283149549788863020e+01 8.006895934592803243e+00
2.699999999999999969e-02 1.729874692232812761e+00 7.734372378119417135e+00
2.800000000000000058e-02 -4.098719896104131344e+00 7.482474148175686679e+00
2.900000000000000147e-02 -1.021733355355606498e+01 7.377973244084161664e+00
3.000000000000000236e-02 -3.438861093299541594e+00 7.229684320155471688e+00
3.100000000000000325e-02 -4.403928642669347582e+00 7.070860488365624974e+00
3.200000000000000067e-02 2.439312689706168324e+00 6.838069558978861373e+00
3.300000000000000155e-02 8.208719676775261931e+00 6.733538785095550594e+00
3.400000000000000244e-02 -6.051443877395932702e+00 6.578724288432845846e+00
3.499999999999999639e-02 -2.481424500869363392e+00 6.482631013397182507e+00
3.599999999999999728e-02 -7.976931984923524510e+00 6.380723578214671399e+00
3.699999999999999817e-02 -1.407572736913681011e+00 6.247290685791249132e+00
3.799999999999999906e-02 2.792431720087552360e+00 6.153925735287471888e+00
3.899999999999999994e-02 2.254564052650366790e+01 6.036926221871778964e+00
4.000000000000000083e-02 1.002743589187550377e+01 5.964801686028264882e+00
4.100000000000000172e-02 8.117109375038417118e-02 5.878801698460788039e+00
4.199999999999999567e-02 5.041837065774463333e+00 5.822020582204121553e+00
4.299999999999999656e-02 3.377110002740203676e+00 5.644954561082394129e+00
4.399999999999999745e-02 4.739125404805087705e+00 5.561039657412379711e+00
4.499999999999999833e-02 6.415940655130447645e+00 5.610427410306102480e+00
4.599999999999999922e-02 -1.608639697341126551e+00 5.448620732417492007e+00
4.700000000000000011e-02 1.860358534672935704e+01 5.369949295630473074e+00
4.800000000000000100e-02 1.511398662169189322e+01 5.256242711782879162e+00
4.899999999999999495e-02 -7.173325454044750416e+00 5.223188107527417579e+00
5.000000000000000278e-02 4.668695894976170102e+00 5.107932648131087383e+00
5.200000000000000455e-02 -1.609947161378575187e+00 3.573950355767579357e+00
5.400000000000000633e-02 -3.744449461182219441e+00 3.454902434185120441e+00
5.600000000000000810e-02 1.207254309685235505e+01 3.479872852711013653e+00
5.800000000000000988e-02 4.413829057198462635e+00 3.512297574524603672e+00
6.000000000000001166e-02 -5.837614605249779487e+00 3.497149363290875446e+00
6.200000000000001343e-02 -1.340026221695128639e+00 3.371622506210480985e+00
6.400000000000001521e-02 -6.192936377475561915e-01 3.248466141308853583e+00
6.600000000000001699e-02 -1.016137220328399771e+01 3.181327892566663706e+00
6.800000000000001876e-02 1.574403101951950212e+00 3.103676680547156508e+00
7.000000000000002054e-02 -1.375229474964800858e+00 3.049050554778068634e+00
7.200000000000002232e-02 8.602601901479213220e-01 2.983228930092549636e+00
7.400000000000002409e-02 2.403973849062557289e+00 2.997634941555970212e+00
7.600000000000002587e-02 -2.132040901100382690e+00 2.966438840264385757e+00
7.800000000000002764e-02 -1.972519497528331112e+00 2.874579332382191321e+00
8.000000000000002942e-02 -2.328032151886495260e+00 2.903011947381302971e+00
8.200000000000003120e-02 -8.893980037644633185e-01 2.922847690035510038e+00
8.400000000000003297e-02 -3.009560451160732786e+00 2.899165122447790566e+00
8.600000000000003475e-02 2.967313142251442937e+00 2.805806854418124718e+00
8.800000000000003653e-02 -3.465822792800226537e+00 2.781953241463865467e+00
9.000000000000003830e-02 -8.839635503775222780e-01 2.805275191743931806e+00
9.200000000000004008e-02 1.918024458240958241e+00 2.793547682239849284e+00
9.400000000000004186e-02 -3.058391715172454894e+00 2.759862440307117470e+00
9.600000000000004363e-02 4.806233374915366285e-01 2.754646864841260534e+00
9.800000000000004541e-02 -4.803408285643441467e+00 2.740782890531737515e+00
1.000000000000000056e-01 2.597598042391305873e-01 2.737395646943900029e+00
1.050000000000000100e-01 1.892206971412235594e+00 1.699642977366035534e+00
1.100000000000000144e-01 -1.605875221131559227e+00 1.664995586841991670e+00
1.150000000000000189e-01 9.552052081688521268e-01 1.632179070475520577e+00
1.200000000000000233e-01 -2.657884314814867199e+00 1.598136656416387691e+00
1.250000000000000278e-01 1.691074096175533503e+00 1.592491200286833664e+00
1.300000000000000322e-01 -2.287920872558815599e+00 1.635567753195318552e+00
1.350000000000000366e-01 2.498820402455074419e+00 1.575619604766072213e+00
1.400000000000000411e-01 4.441637372617494028e-01 1.542298564544448025e+00
1.450000000000000455e-01 4.758233355445759538e-01 1.518855888358199513e+00
1.500000000000000500e-01 -1.961635289612962296e+00 1.529081253095297743e+00
1.550000000000000544e-01 7.380871253361280804e-01 1.571961967458576526e+00
1.600000000000000588e-01 -5.043282158934155213e+00 1.584367693585004622e+00
1.650000000000000633e-01 -2.988064660822426499e-01 1.587277262557821089e+00
1.700000000000000677e-01 -2.746292515638498077e+00 1.603602634655948433e+00
1.750000000000000722e-01 5.004588259890891955e+00 1.602355141784556292e+00
1.800000000000000766e-01 -1.267073482630942938e-01 1.594100000987460186e+00
1.850000000000000810e-01 -3.960247789335050519e-03 1.583793129340291372e+00
1.900000000000000855e-01 -1.310790584075686604e+00 1.573335603966133034e+00
1.950000000000000899e-01 9.392324684117538125e-02 1.587357248805358223e+00
2.000000000000000944e-01 -1.515594162545304879e+00 1.463105492597458923e+00
2.050000000000000988e-01 -4.773493346359577671e+00 1.510305318701071764e+00
2.100000000000001033e-01 -1.438299256665573012e+00 1.480361043544916599e+00
2.150000000000001077e-01 1.098355221057739639e+00 1.496746327111271535e+00
2.200000000000001121e-01 2.452985886088374645e+00 1.439485445710038780e+00
2.250000000000001166e-01 -4.567819576933024872e-01 1.417455769606606131e+00
2.300000000000001210e-01 -9.869825420701796581e-01 1.421822869126583511e+00
2.350000000000001255e-01 -8.108780558813833209e-03 1.398572327930429848e+00
2.400000000000001299e-01 -1.432746775952397078e+00 1.468411492733906920e+00
2.450000000000001343e-01 -1.968778362940352133e+00 1.524236521701876734e+00
2.500000000000001110e-01 -5.864880328218956551e-01 1.489954587890335747e+00
2.550000000000001155e-01 -7.047532524927621056e-01 1.529712705869085143e+00
2.600000000000001199e-01 -2.131806413420798574e+00 1.513126002752587684e+00
2.650000000000001243e-01 -5.675679899735510681e-01 1.580659490958064239e+00
2.700000000000001288e-01 1.232042240416956869e+00 1.595783371456597655e+00
2.750000000000001332e-01 1.087528385442247281e+00 1.564179149110025646e+00
2.800000000000001377e-01 3.003792569278931790e+00 1.695186361171041156e+00
2.850000000000001421e-01 -5.443342907112940221e-01 1.573626666186569656e+00
2.900000000000001465e-01 4.169521986760845955e+00 1.638648477871369913e+00
2.950000000000001510e-01 -2.948721362668582646e-01 1.564786359999839505e+00
3.000000000000001554e-01 -1.025003450075708589e+00 1.634556734077289519e+00
3.050000000000001599e-01 1.808888595658137088e+00 1.569812236754857926e+00
3.100000000000001643e-01 -7.339801802977192757e-01 1.575570386817378488e+00
3.150000000000001688e-01 -1.941954598367619411e+00 1.551356363107380787e+00
3.200000000000001732e-01 1.671097774226301569e+00 1.501600939321609873e+00
3.250000000000001776e-01 3.762725881032161768e-01 1.480029588188238376e+00
3.300000000000001821e-01 6.336668894549460918e-01 1.517742402936940405e+00
3.350000000000001865e-01 3.582682284592172278e-02 1.481379470157697664e+00
3.400000000000001910e-01 1.653657740094560680e-01 1.466441918770934327e+00
3.450000000000001954e-01 1.957558190047187230e+00 1.509056361440193061e+00
3.500000000000001998e-01 1.113540433419669684e+00 1.367259400751474452e+00
3.550000000000002043e-01 -3.818839990960198882e-01 1.460629053371129027e+00
3.600000000000002087e-01 -2.202597236703784489e+00 1.440328409201331095e+00
3.650000000000002132e-01 2.643525743137514206e-01 1.447791183864054920e+00
3.700000000000002176e-01 -2.982498768301883096e+00 1.395495705260696440e+00
3.750000000000002220e-01 2.944494968159619308e+00 1.325070410164774559e+00
3.800000000000002265e-01 1.251239481730070047e+00 1.327299484425114917e+00
3.850000000000002309e-01 -7.647186950552811169e-01 1.352441686297286561e+00
