# q I conditional_sigma_fixed_C_no_cross_frame_covariance
1.200000000000000025e-02 -5.580333458582110495e+00 8.137194492104084631e+00
1.300000000000000114e-02 -6.455889095627047602e+00 6.866356366614056128e+00
1.400000000000000203e-02 -7.510444293397673832e+00 5.870881636076481058e+00
1.499999999999999944e-02 -3.945103891455692402e+00 5.023716899248478640e+00
1.600000000000000033e-02 8.168929321105617092e+00 4.391232715145094723e+00
1.700000000000000122e-02 -1.352917938767810746e+00 3.907091254397612179e+00
1.800000000000000211e-02 6.248818034158054147e+00 3.597718030800551858e+00
1.899999999999999953e-02 -5.189830418771880005e+00 3.316153238181550833e+00
2.000000000000000042e-02 -4.022442132675084769e-01 3.010889134353357921e+00
2.100000000000000130e-02 -1.451525430870581890e-01 2.814601235343432428e+00
2.200000000000000219e-02 2.174910099600150026e+00 2.646415385294053291e+00
2.300000000000000308e-02 1.738330029456349290e+00 2.492309704281110427e+00
2.400000000000000050e-02 2.408038454191531841e+00 2.365208821728415955e+00
2.500000000000000139e-02 3.022210783516955601e+00 2.254171530430263193e+00
2.600000000000000228e-02 -5.037905671650769968e+00 2.154925671601158665e+00
2.699999999999999969e-02 -9.978411793219091885e-01 2.073475510836686464e+00
2.800000000000000058e-02 4.152325277142174365e+00 1.949384863836341575e+00
2.900000000000000147e-02 -2.968326724829729812e+00 1.912141406326503201e+00
3.000000000000000236e-02 3.523903260281492922e-01 1.864143038326028901e+00
3.100000000000000325e-02 1.702625309257639330e+00 1.801824510039298666e+00
3.200000000000000067e-02 -1.614976905348593172e+00 1.706217047154652500e+00
3.300000000000000155e-02 -2.091278319794096507e+00 1.691785221481358459e+00
3.400000000000000244e-02 1.672497442809267820e+00 1.641315992613275654e+00
3.499999999999999639e-02 2.793348528717062074e+00 1.594186412016198817e+00
3.599999999999999728e-02 8.998044474682233007e-01 1.568193076169915212e+00
3.699999999999999817e-02 -2.676414842168619579e+00 1.523136120322126086e+00
3.799999999999999906e-02 -1.053183840570397212e-01 1.496112800018281064e+00
3.899999999999999994e-02 -3.868699606920286138e-01 1.460539155798850075e+00
4.000000000000000083e-02 1.795214934482596281e+00 1.423999162101974525e+00
4.100000000000000172e-02 -1.668337532195469430e+00 1.386397489901732838e+00
4.199999999999999567e-02 8.468109623545573283e-01 1.373528021657784093e+00
4.299999999999999656e-02 -6.327840383591162299e-01 1.340192201783194204e+00
4.399999999999999745e-02 -1.116336477635250235e+00 1.313380311238224962e+00
4.499999999999999833e-02 -1.310186562573763425e+00 1.288686689519739303e+00
4.599999999999999922e-02 -8.354829048430379990e-01 1.241111017109680192e+00
4.700000000000000011e-02 3.227888713682312449e+00 1.242822167800677891e+00
4.800000000000000100e-02 1.295898648909456385e+00 1.216056627375825983e+00
4.899999999999999495e-02 -3.184307799653236071e+00 1.196978032483223542e+00
5.000000000000000278e-02 1.824357099528167270e+00 1.191032782721333616e+00
5.200000000000000455e-02 1.001718598050949538e+00 8.061975346524565822e-01
5.400000000000000633e-02 -1.470614754234162103e+00 7.856097648290286672e-01
5.600000000000000810e-02 9.352620511808863724e-02 7.862278684655562566e-01
5.800000000000000988e-02 -4.734450235035591037e-01 7.835008778700878196e-01
6.000000000000001166e-02 -1.799848395169659998e+00 7.735438009447022090e-01
6.200000000000001343e-02 1.073352890082537314e+00 7.394699037901717453e-01
6.400000000000001521e-02 1.372486558662307177e+00 7.142991349323416506e-01
6.600000000000001699e-02 -2.061163127116070193e-01 6.924110461163390795e-01
6.800000000000001876e-02 -2.154954720220385034e-01 6.728007801016666622e-01
7.000000000000002054e-02 -5.759885580943229222e-01 6.577690098351886006e-01
7.200000000000002232e-02 -1.391855525502804780e-01 6.502840330506949318e-01
7.400000000000002409e-02 -8.242082691080787615e-01 6.429398318039171167e-01
7.600000000000002587e-02 -8.072857312092911464e-01 6.254153883439723671e-01
7.800000000000002764e-02 -1.533073928956199816e-01 6.221372206196769117e-01
8.000000000000002942e-02 -9.196726246345546252e-02 6.260749733495059033e-01
8.200000000000003120e-02 -4.019360807113488976e-01 6.221079566458213028e-01
8.400000000000003297e-02 4.968409123878602673e-01 5.983016095962979675e-01
8.600000000000003475e-02 -4.775497874107932916e-01 5.834889419601386740e-01
8.800000000000003653e-02 -4.013503584620417564e-01 5.904532499538118762e-01
9.000000000000003830e-02 -3.888570585976349747e-01 5.901788814156577745e-01
9.200000000000004008e-02 9.021732748410489222e-01 5.810708401679580692e-01
9.400000000000004186e-02 -3.756090454583711075e-02 5.743975133695735646e-01
9.600000000000004363e-02 -1.006826552793079976e+00 5.753204072113227152e-01
9.800000000000004541e-02 -7.794752765473682288e-02 5.714244415244472686e-01
1.000000000000000056e-01 -8.037215603732034142e-02 5.647504965564188462e-01
1.050000000000000100e-01 -4.917078883090023611e-01 3.471145797677611111e-01
1.100000000000000144e-01 -1.266090277666060138e-01 3.393075462383713381e-01
1.150000000000000189e-01 1.796203266174841440e-01 3.315453853683649754e-01
1.200000000000000233e-01 2.954689606912919153e-01 3.246393383878704020e-01
1.250000000000000278e-01 1.828765451198725578e-01 3.272292725591914864e-01
1.300000000000000322e-01 -2.160830188600007806e-01 3.296383050704733142e-01
1.350000000000000366e-01 -2.441507489653555740e-01 3.162340280950936555e-01
1.400000000000000411e-01 -4.437403215062335482e-02 3.100458196154383117e-01
1.450000000000000455e-01 2.768984366936722563e-01 3.040306050033217966e-01
1.500000000000000500e-01 -2.282333160988288812e-01 3.161057296214476175e-01
1.550000000000000544e-01 3.334654769988654177e-02 3.171960929422615316e-01
1.600000000000000588e-01 4.388277758265816675e-01 3.185035390582586223e-01
1.650000000000000633e-01 -3.931133934871440805e-01 3.207690675228119237e-01
