# q I sigma_shared_baseline
6.000000000000000125e-03 3.299694596644684896e+00 9.198407819241080086e-01
7.000000000000000146e-03 2.435072676913055290e+00 4.310836314398231450e-01
8.000000000000000167e-03 2.390357939797147946e+00 2.622150379445390977e-01
9.000000000000001055e-03 2.119395114322821794e+00 1.722083277244409460e-01
1.000000000000000021e-02 2.132633492171785772e+00 1.276274452784927627e-01
1.099999999999999936e-02 1.805909844562726407e+00 1.061113957525472995e-01
1.200000000000000025e-02 1.875034887143723461e+00 9.231541196728185183e-02
1.300000000000000114e-02 1.811634374073833875e+00 7.954644452757991813e-02
1.400000000000000203e-02 1.964412491311266162e+00 7.214277868401543226e-02
1.499999999999999944e-02 1.893927872171516480e+00 6.656069833233621558e-02
1.600000000000000033e-02 1.924360456190914004e+00 6.070023860493223289e-02
1.700000000000000122e-02 1.869222155422699316e+00 5.501979291265964717e-02
1.800000000000000211e-02 1.835836675937313922e+00 5.129957298359873186e-02
1.899999999999999953e-02 1.758757339354308558e+00 4.918882733137929647e-02
2.000000000000000042e-02 1.833253644876904787e+00 4.734245653732538361e-02
2.100000000000000130e-02 1.803356883187024140e+00 4.401551056406865364e-02
2.200000000000000219e-02 1.742886540253307581e+00 4.263964359296545242e-02
2.300000000000000308e-02 1.723055779110573393e+00 4.042883539931756143e-02
2.400000000000000050e-02 1.650620593104132450e+00 3.924114522365887425e-02
2.500000000000000139e-02 1.689387666736803295e+00 3.787787961710024909e-02
2.600000000000000228e-02 1.620227298633786894e+00 3.721569323302025695e-02
2.699999999999999969e-02 1.670230733684705093e+00 3.615529283508264746e-02
2.800000000000000058e-02 1.675395018056941909e+00 3.475088064320060177e-02
2.900000000000000147e-02 1.617429748071005369e+00 3.408389600886306547e-02
3.000000000000000236e-02 1.592088965786960353e+00 3.371147330220450322e-02
3.100000000000000325e-02 1.619201133580617125e+00 3.296373898700163951e-02
3.200000000000000067e-02 1.557707142218947682e+00 3.174038700583264871e-02
3.300000000000000155e-02 1.516916067179518546e+00 3.134641916408351797e-02
3.400000000000000244e-02 1.476482491508440020e+00 3.043781320882458369e-02
3.499999999999999639e-02 1.547902802823793111e+00 3.031051366215618131e-02
3.599999999999999728e-02 1.475674062919063445e+00 2.973936581958549347e-02
3.699999999999999817e-02 1.457574867725851764e+00 2.922660156902104345e-02
3.799999999999999906e-02 1.404414930203804479e+00 2.851316921239728519e-02
3.899999999999999994e-02 1.342680993177247872e+00 2.786745880104232048e-02
4.000000000000000083e-02 1.380714420129889985e+00 2.800167844063754935e-02
4.100000000000000172e-02 1.313649012964903440e+00 2.720426556073699681e-02
4.199999999999999567e-02 1.359361702450514242e+00 2.705012100512741921e-02
4.299999999999999656e-02 1.293397707517322859e+00 2.605465489447813393e-02
4.399999999999999745e-02 1.230778414312151403e+00 2.603858486175468501e-02
4.499999999999999833e-02 1.231074610686786253e+00 2.562937937759432461e-02
4.599999999999999922e-02 1.233924142114626754e+00 2.512469175660735424e-02
4.700000000000000011e-02 1.195373538437825678e+00 2.452578752137264673e-02
4.800000000000000100e-02 1.170958064684115785e+00 2.417876054507929473e-02
4.899999999999999495e-02 1.146831843655620409e+00 2.382310732551106564e-02
5.000000000000000278e-02 1.104616882312602577e+00 2.363777666429674185e-02
5.200000000000000455e-02 1.100329093482838916e+00 1.638565709527687805e-02
5.400000000000000633e-02 1.048813882056762736e+00 1.606202638082968731e-02
5.600000000000000810e-02 9.803258982795148846e-01 1.587556328178310605e-02
5.800000000000000988e-02 9.716066105825111876e-01 1.628265940892187347e-02
6.000000000000001166e-02 9.082451328263969614e-01 1.607525889592324730e-02
6.200000000000001343e-02 8.732394901267626075e-01 1.540816522415335010e-02
6.400000000000001521e-02 8.656087749410212862e-01 1.496599254763494521e-02
6.600000000000001699e-02 8.204971632314195240e-01 1.464453045298952025e-02
6.800000000000001876e-02 7.669542413304906159e-01 1.423681334867002608e-02
7.000000000000002054e-02 7.459029645339655401e-01 1.393698248429008427e-02
7.200000000000002232e-02 7.245115964594672775e-01 1.359298307549049525e-02
7.400000000000002409e-02 6.832022159916788517e-01 1.369999622899696970e-02
7.600000000000002587e-02 6.659293633746612429e-01 1.355746349856142181e-02
7.800000000000002764e-02 6.366445056936336222e-01 1.306917247550456324e-02
8.000000000000002942e-02 6.249314484862773522e-01 1.322460511704108208e-02
8.200000000000003120e-02 5.841877329042285405e-01 1.330452358724866328e-02
8.400000000000003297e-02 5.789409965134750813e-01 1.328163916353643399e-02
8.600000000000003475e-02 5.516946199915456761e-01 1.278612099429832227e-02
8.800000000000003653e-02 5.333019705284290923e-01 1.266470155133279409e-02
9.000000000000003830e-02 5.079772408959474239e-01 1.278149932791731828e-02
9.200000000000004008e-02 4.882563449478203865e-01 1.268581721578923571e-02
9.400000000000004186e-02 4.694233216382934781e-01 1.262018290640437579e-02
9.600000000000004363e-02 4.596152422565865647e-01 1.251344739910019953e-02
9.800000000000004541e-02 4.432865265161408108e-01 1.249268810625705703e-02
1.000000000000000056e-01 4.262993112698155174e-01 1.243494387468585365e-02
1.050000000000000100e-01 3.878577502713624336e-01 7.711337362547542734e-03
1.100000000000000144e-01 3.583863293005338790e-01 7.546682105428522552e-03
1.150000000000000189e-01 3.324521476747909210e-01 7.410469995867156358e-03
1.200000000000000233e-01 3.042235260928255469e-01 7.245326902954928559e-03
1.250000000000000278e-01 2.860550653042834846e-01 7.218592023020714045e-03
1.300000000000000322e-01 2.588749095762654662e-01 7.390869455263733394e-03
1.350000000000000366e-01 2.195257627282933832e-01 7.112719630591055053e-03
1.400000000000000411e-01 2.136937388285144179e-01 6.981461955673740234e-03
1.450000000000000455e-01 2.044533342966649014e-01 6.868782889043658496e-03
1.500000000000000500e-01 1.977152014435282212e-01 6.909916118172962189e-03
1.550000000000000544e-01 1.744966912253608782e-01 7.091576475131018339e-03
1.600000000000000588e-01 1.639455614868512989e-01 7.165086145956312338e-03
1.650000000000000633e-01 1.561950827198705649e-01 7.165130918673853593e-03
1.700000000000000677e-01 1.421609456957172168e-01 7.240216636861303984e-03
1.750000000000000722e-01 1.126524694769343166e-01 7.209388382155684435e-03
1.800000000000000766e-01 1.188931996992766416e-01 7.176353515966388437e-03
1.850000000000000810e-01 1.126187597776657501e-01 7.145580302292182939e-03
1.900000000000000855e-01 1.000927697117273696e-01 7.089284650623109592e-03
1.950000000000000899e-01 9.725135816418209456e-02 7.158134158380556090e-03
2.000000000000000944e-01 9.881243276744003379e-02 6.725165560258694435e-03
2.050000000000000988e-01 1.026414721033354349e-01 6.845767766755750036e-03
2.100000000000001033e-01 8.302068552648129984e-02 6.749351474863994269e-03
2.150000000000001077e-01 7.092296081458711321e-02 6.588242315708565423e-03
2.200000000000001121e-01 6.804034765815046570e-02 6.532198384486712778e-03
2.250000000000001166e-01 7.327826429670733499e-02 6.465271313128290523e-03
2.300000000000001210e-01 7.349027379943522120e-02 6.388593731302181708e-03
2.350000000000001255e-01 6.675029200834017851e-02 6.297994910894336856e-03
2.400000000000001299e-01 7.975523792043846816e-02 6.608397099899149078e-03
2.450000000000001343e-01 6.577886480305965289e-02 6.905946390519956263e-03
2.500000000000001110e-01 6.075950600749613351e-02 6.586790130053212476e-03
2.550000000000001155e-01 5.772438167290165623e-02 6.807617865171374828e-03
2.600000000000001199e-01 5.239742805743922288e-02 6.782549473308809376e-03
2.650000000000001243e-01 4.623386237019892764e-02 7.099229883715972231e-03
2.700000000000001288e-01 5.574899108630418376e-02 7.163051051249372941e-03
2.750000000000001332e-01 4.042416699000113411e-02 6.785598732838923550e-03
2.800000000000001377e-01 4.720361411454888911e-02 7.495412185409664960e-03
2.850000000000001421e-01 3.966915188528934849e-02 6.990335103393189274e-03
2.900000000000001465e-01 4.161269026605571297e-02 7.290100898409056229e-03
2.950000000000001510e-01 4.381308252515109247e-02 7.344178225994023659e-03
3.000000000000001554e-01 4.035420675611294666e-02 7.208308996415301907e-03
3.050000000000001599e-01 3.655007886495040964e-02 7.461100577424123297e-03
3.100000000000001643e-01 4.482143052245950859e-02 7.026415209129282732e-03
3.150000000000001688e-01 4.820810718301363901e-02 7.180475845192207419e-03
3.200000000000001732e-01 3.373597115312973460e-02 6.534220821487985581e-03
3.250000000000001776e-01 3.608068872840884678e-02 6.699224288065722469e-03
3.300000000000001821e-01 3.357679281869102583e-02 6.773002548873618620e-03
3.350000000000001865e-01 3.800372947673226476e-02 6.554595300119741424e-03
3.400000000000001910e-01 3.530323204129880849e-02 6.680833693548299257e-03
3.450000000000001954e-01 3.696506815851259564e-02 6.650408868028280344e-03
3.500000000000001998e-01 3.503491350516229480e-02 6.336233252865485638e-03
3.550000000000002043e-01 3.916248469973589857e-02 6.910308403417018096e-03
3.600000000000002087e-01 3.296826058884356342e-02 6.337804736641442990e-03
3.650000000000002132e-01 3.140770425042325315e-02 6.501443755160858304e-03
3.700000000000002176e-01 3.114104483304036552e-02 6.261123164170026914e-03
3.750000000000002220e-01 2.472063580312256273e-02 6.066997804837790352e-03
3.800000000000002265e-01 2.970497534288351824e-02 5.883906681088916547e-03
3.850000000000002309e-01 3.422986004326494802e-02 6.110210018903542394e-03
3.900000000000002354e-01 2.625622111968534469e-02 5.829180494396794115e-03
3.950000000000002398e-01 3.465349309884111634e-02 5.952284928722162936e-03
4.000000000000002442e-01 3.035786571612611104e-02 5.978969157778761187e-03
4.050000000000002487e-01 3.037898656545877374e-02 6.672695900376987566e-03
4.100000000000002531e-01 2.512002838503403501e-02 6.361369783205661314e-03
4.150000000000002576e-01 2.411162014695143047e-02 6.655759835669375520e-03
4.200000000000002620e-01 2.723579295468305309e-02 5.641629087437016396e-03
4.250000000000002665e-01 2.926347014522908199e-02 5.754453520506365091e-03
4.300000000000002709e-01 2.726444899273075886e-02 5.953633357910788522e-03
4.350000000000002753e-01 3.341603252297472432e-02 5.695313392394977213e-03
4.400000000000002798e-01 2.612401702469641443e-02 5.501712124636423326e-03
4.450000000000002842e-01 2.899363194533887897e-02 5.436804631370638005e-03
4.500000000000002887e-01 2.511160560757034685e-02 5.609522098238083065e-03
4.550000000000002931e-01 1.369991128279102709e-02 5.405126177072071096e-03
4.600000000000002975e-01 2.889762414592832868e-02 5.456409014434141988e-03
4.650000000000003020e-01 2.135038513932405874e-02 5.281209364809834501e-03
4.700000000000003064e-01 2.936697473253593177e-02 5.397546471943713738e-03
4.750000000000003109e-01 2.511360823096990200e-02 5.134626972568399721e-03
4.800000000000003153e-01 2.245110929740978464e-02 5.547515590604259333e-03
4.850000000000003197e-01 2.392287671404268526e-02 5.268131555301063494e-03
4.900000000000003242e-01 2.335508061292975931e-02 5.214310035715896165e-03
4.950000000000003286e-01 2.137691721547405402e-02 5.009250158207054042e-03
5.000000000000000000e-01 2.138094000175059725e-02 5.972480477109579772e-03
5.100000000000000089e-01 2.512658525717494443e-02 3.734405399163983220e-03
5.200000000000000178e-01 2.157532195996720442e-02 3.431350890012726390e-03
5.300000000000000266e-01 1.811362590332753902e-02 3.521552863024281655e-03
5.400000000000000355e-01 2.393425036063450556e-02 3.455975655620545720e-03
5.500000000000000444e-01 2.108234410270576342e-02 3.438977701402432408e-03
5.600000000000000533e-01 2.368579717401360016e-02 3.267482169848171056e-03
5.700000000000000622e-01 2.132350354015091418e-02 3.203267588774386977e-03
5.800000000000000711e-01 1.895059737035222763e-02 3.282830947838523417e-03
5.900000000000000799e-01 1.872756943050330608e-02 3.273347277140532113e-03
6.000000000000000888e-01 2.097029925354718452e-02 3.384692360959910742e-03
6.100000000000000977e-01 2.135336635750383072e-02 3.238418913952132144e-03
6.200000000000001066e-01 1.540479286470634347e-02 3.188443542405577057e-03
6.300000000000001155e-01 1.631454870405655774e-02 3.198470826065476572e-03
6.400000000000001243e-01 2.087496544826766137e-02 3.133619814299133145e-03
6.500000000000001332e-01 2.101370333039912983e-02 3.079792488053047228e-03
6.600000000000001421e-01 2.150741299034992712e-02 3.037740847430926358e-03
6.700000000000001510e-01 1.965881162372014671e-02 3.164665276455519167e-03
6.800000000000001599e-01 1.839768019328731977e-02 3.087365404074852472e-03
6.900000000000001688e-01 1.733727183060682075e-02 3.042210244532455535e-03
7.000000000000001776e-01 1.840467953825593653e-02 3.168446391929284275e-03
7.100000000000001865e-01 1.514909936030976907e-02 3.066804076124605982e-03
7.200000000000001954e-01 1.495162292198339710e-02 3.060314831233411272e-03
7.300000000000002043e-01 1.535293013542990935e-02 3.078947664828491151e-03
7.400000000000002132e-01 1.520280588961473410e-02 3.093588798190889666e-03
7.500000000000002220e-01 1.150467747530069078e-02 3.074924936165318156e-03
7.600000000000002309e-01 1.853471171160295250e-02 3.098385558825541772e-03
7.700000000000002398e-01 1.778527047251696538e-02 3.104924862069105129e-03
7.800000000000002487e-01 1.761528399599365455e-02 3.192625425798645191e-03
7.900000000000002576e-01 1.553653376373334387e-02 3.201612562817795354e-03
8.000000000000002665e-01 1.632579406011341189e-02 3.139704008363374769e-03
8.100000000000002753e-01 1.914905634328824269e-02 3.089507132918965348e-03
8.200000000000002842e-01 1.237359801262902584e-02 3.198910553537012789e-03
8.300000000000002931e-01 1.492107275362545074e-02 3.210095904138754366e-03
8.400000000000003020e-01 1.197070751784738013e-02 3.246550596186966939e-03
8.500000000000003109e-01 1.444911743904047849e-02 3.250827159594110467e-03
8.600000000000003197e-01 1.301706036027470113e-02 3.304871329104847131e-03
8.700000000000003286e-01 1.555290098777440712e-02 3.305902620956730365e-03
8.800000000000003375e-01 1.705358681176225716e-02 3.173255203187677880e-03
8.900000000000003464e-01 1.539380904081681309e-02 3.062951301476805280e-03
9.000000000000003553e-01 1.441848540139005139e-02 3.049359959745056182e-03
9.100000000000003642e-01 1.599141442056279533e-02 3.137074391362874946e-03
9.200000000000003730e-01 1.531911334669328571e-02 3.063269418680825227e-03
9.300000000000003819e-01 1.554927442567236896e-02 3.089411148978945740e-03
9.400000000000003908e-01 1.195014006010867470e-02 3.092554055424134862e-03
9.500000000000003997e-01 1.345383760734880120e-02 3.129643762368965795e-03
9.600000000000004086e-01 9.445987120938295276e-03 3.133892573390124111e-03
9.700000000000004174e-01 1.373478150711774509e-02 3.198158066932220173e-03
9.800000000000004263e-01 1.252532789082459741e-02 3.261734969559091941e-03
9.900000000000004352e-01 1.310869224581279191e-02 3.288468126642097970e-03
1.000000000000000000e+00 1.316994318593695153e-02 3.318807363307279667e-03
1.030000000000000027e+00 1.383361336371376378e-02 2.058926892165160744e-03
1.060000000000000053e+00 1.207665343398395090e-02 2.186262855362939347e-03
1.090000000000000080e+00 1.337625422132444203e-02 2.307363990449344711e-03
1.120000000000000107e+00 1.227428139523268832e-02 2.306474702015504953e-03
1.150000000000000133e+00 1.543953401119635069e-02 2.318401019399528740e-03
1.180000000000000160e+00 1.387434458834179048e-02 2.654390108650559865e-03
1.210000000000000187e+00 1.502686097087988296e-02 2.977690671954693561e-03
1.240000000000000213e+00 1.519439295534622675e-02 3.200739851534360574e-03
1.270000000000000240e+00 1.372590977496663742e-02 3.485074602514758903e-03
1.300000000000000266e+00 1.599019525620295340e-02 3.814451260759676391e-03
1.330000000000000293e+00 1.532750796301521334e-02 4.291354032797666321e-03
1.360000000000000320e+00 1.538265343772965595e-02 4.824245552858577937e-03
1.390000000000000346e+00 1.675219370346719625e-02 6.232890192180713662e-03
1.420000000000000373e+00 1.421175480948329989e-02 6.576178639096368940e-03
1.450000000000000400e+00 1.650141719822401792e-02 6.761978902553571896e-03
1.480000000000000426e+00 1.717663341499070517e-02 7.422960666275809846e-03
1.510000000000000453e+00 1.614037835944099122e-02 8.273037986019337806e-03
1.540000000000000480e+00 1.790157191104500833e-02 9.298237138554885442e-03
1.570000000000000506e+00 1.579524889031075352e-02 1.043985693959795583e-02
1.600000000000000533e+00 1.551862559593577412e-02 1.168876492407367428e-02
1.630000000000000560e+00 1.476164648602557722e-02 1.309617880225165051e-02
1.660000000000000586e+00 1.600974582438985730e-02 1.463122141691128655e-02
1.690000000000000613e+00 1.516984007074191794e-02 1.615378014657364511e-02
1.720000000000000639e+00 1.299088359512816371e-02 1.773190090430086172e-02
1.750000000000000666e+00 1.007623263104374944e-02 1.954522644166316325e-02
1.780000000000000693e+00 7.504220190332725957e-03 2.258255320175507619e-02
1.810000000000000719e+00 7.437461894542496746e-03 2.538890524386643033e-02
1.840000000000000746e+00 5.906720628284865826e-03 2.693919971477505559e-02
1.870000000000000773e+00 2.200068527935859861e-03 2.766968273887193339e-02
1.900000000000000799e+00 4.428870812990744719e-03 2.877219499329234514e-02
1.930000000000000826e+00 1.574688514668635487e-03 2.974648769311938334e-02
1.960000000000000853e+00 3.571278593602863257e-05 3.057856540671590601e-02
1.990000000000000879e+00 -4.111806605698770946e-04 4.307954639093929811e-02
2.020000000000000906e+00 6.497314352258822066e-04 3.209774624222803963e-02
2.050000000000000711e+00 -8.103085269049450847e-05 3.194521585852339723e-02
2.080000000000000959e+00 -3.774002269815827058e-03 3.112323358532454939e-02
2.110000000000001208e+00 2.232487442685543130e-04 2.979449001267411509e-02
2.140000000000001013e+00 -4.846107037966452570e-03 2.850164955275001286e-02
2.170000000000000817e+00 -4.304254121957031692e-03 2.673858359157804329e-02
2.200000000000001066e+00 -2.715607772231234777e-03 2.510912699919744598e-02
2.230000000000001315e+00 -2.037067939753456954e-03 2.384129462983694547e-02
2.260000000000001119e+00 -3.806349781712977873e-04 2.285940394583021312e-02
2.290000000000000924e+00 -2.900585856059047663e-03 2.185429002072727250e-02
2.320000000000001172e+00 -4.509060772308385277e-03 2.095293797117036769e-02
2.350000000000001421e+00 -1.456305038777237900e-03 2.017894989941254602e-02
2.380000000000001226e+00 -2.151601717446980679e-03 2.029215216418376808e-02
2.410000000000001030e+00 -3.809561708856640857e-03 2.056231377755823875e-02
2.440000000000001279e+00 -2.626548334650473816e-03 1.948095700276131909e-02
