# q I conditional_sigma_fixed_C_no_cross_frame_covariance
6.000000000000000125e-03 1.026895870406002160e+02 2.698062739015880140e+01
7.000000000000000146e-03 6.584767275965018030e+01 1.254905989045391301e+01
8.000000000000000167e-03 5.590637045496162472e+01 7.618464564924739335e+00
9.000000000000001055e-03 5.497745897805231152e+01 4.990496253182489461e+00
1.000000000000000021e-02 5.315903830641530448e+01 3.702185461738127348e+00
1.099999999999999936e-02 5.230295618464710827e+01 3.018159792443718459e+00
1.200000000000000025e-02 5.001364793786954266e+01 2.604410146615163235e+00
1.300000000000000114e-02 5.063069919721496603e+01 2.270403707535110005e+00
1.400000000000000203e-02 4.989251590670254899e+01 2.068208065483841729e+00
1.499999999999999944e-02 4.889871735172448552e+01 1.862625782471432068e+00
1.600000000000000033e-02 4.554520111346703715e+01 1.716199457650705140e+00
1.700000000000000122e-02 4.656725410306704305e+01 1.562256735448311229e+00
1.800000000000000211e-02 4.643748142646220600e+01 1.447389985903850373e+00
1.899999999999999953e-02 4.892197932662810445e+01 1.383347157006835193e+00
2.000000000000000042e-02 4.682776513551750952e+01 1.310828370862416437e+00
2.100000000000000130e-02 4.577654983947643785e+01 1.237620764204678814e+00
2.200000000000000219e-02 4.653950460021000879e+01 1.187881399683925032e+00
2.300000000000000308e-02 4.700439601621243924e+01 1.134084011010609405e+00
2.400000000000000050e-02 4.436954817980833354e+01 1.092750355195012624e+00
2.500000000000000139e-02 4.483753557144402180e+01 1.057832512375059375e+00
2.600000000000000228e-02 4.316019193610262050e+01 1.045513689196942320e+00
2.699999999999999969e-02 4.346115464627706615e+01 1.008126919249767939e+00
2.800000000000000058e-02 4.191144009838015450e+01 9.676684532048677179e-01
2.900000000000000147e-02 4.217155908928844354e+01 9.549518262462340923e-01
3.000000000000000236e-02 4.128110047388670978e+01 9.343009653615410581e-01
3.100000000000000325e-02 4.107855364145014931e+01 9.198427632102528229e-01
3.200000000000000067e-02 4.049148279995336708e+01 8.985614381883790802e-01
3.300000000000000155e-02 4.057493878434004841e+01 8.770961050440578832e-01
3.400000000000000244e-02 3.735926154746434236e+01 8.590271904143114146e-01
3.499999999999999639e-02 4.011540591384042642e+01 8.380158870849624408e-01
3.599999999999999728e-02 3.766691531127495551e+01 8.294892532704156718e-01
3.699999999999999817e-02 3.845047141444118211e+01 8.127728688426217873e-01
3.799999999999999906e-02 3.805671570505336376e+01 8.038395701129941173e-01
3.899999999999999994e-02 3.727640686476260612e+01 7.849139747717426285e-01
4.000000000000000083e-02 3.697829325335136019e+01 7.757571832830711944e-01
4.100000000000000172e-02 3.468821194009338882e+01 7.659030060126899020e-01
4.199999999999999567e-02 3.538887501336575525e+01 7.541011814134885860e-01
4.299999999999999656e-02 3.346331108053309578e+01 7.393578076372602226e-01
4.399999999999999745e-02 3.330839568897961556e+01 7.221074189497771467e-01
4.499999999999999833e-02 3.212162635346061990e+01 7.259787556913365192e-01
4.599999999999999922e-02 3.170661044772147719e+01 7.069082852262111860e-01
4.700000000000000011e-02 3.246642724831070836e+01 6.963129308963996733e-01
4.800000000000000100e-02 3.236302024408057321e+01 6.812863460885724143e-01
4.899999999999999495e-02 2.928673682784005905e+01 6.776972846823909880e-01
5.000000000000000278e-02 2.913867894243154666e+01 6.673655276964343130e-01
5.200000000000000455e-02 2.827052709575135125e+01 4.632200297581435255e-01
5.400000000000000633e-02 2.697737080322435332e+01 4.505979433899930386e-01
5.600000000000000810e-02 2.642647983023989511e+01 4.515646018539057338e-01
5.800000000000000988e-02 2.580031367624042460e+01 4.566978258960675552e-01
6.000000000000001166e-02 2.304739882056319189e+01 4.556380036414636736e-01
6.200000000000001343e-02 2.316538226142841950e+01 4.376644431707414906e-01
6.400000000000001521e-02 2.259145708521945650e+01 4.228866143555499724e-01
6.600000000000001699e-02 2.011693601354508232e+01 4.142861402868405207e-01
