# q I sigma_shared_baseline
5.000000000000000104e-03 7.898527825366522315e+00 5.297812367228217134e+00
6.000000000000000125e-03 7.338218629427544215e+00 2.431882291292499776e+00
7.000000000000000146e-03 7.089580180405549825e+00 1.187710798839102022e+00
8.000000000000000167e-03 6.262490500266943982e+00 6.482604049557499915e-01
9.000000000000001055e-03 5.841021301379992536e+00 4.031268469856808534e-01
1.000000000000000021e-02 5.977443806541275606e+00 2.943441700079102441e-01
1.099999999999999936e-02 5.594418054658545358e+00 2.300835969573654105e-01
1.200000000000000025e-02 5.499860900432471666e+00 1.865476008275027686e-01
1.300000000000000114e-02 5.289135307219415161e+00 1.567192077754841484e-01
1.400000000000000203e-02 5.378301223844554890e+00 1.351514091588488786e-01
1.499999999999999944e-02 5.207555460484307730e+00 1.153999468308582743e-01
1.600000000000000033e-02 5.251838728579754978e+00 1.008787141667598364e-01
1.700000000000000122e-02 5.176838873518751605e+00 8.971716298673471091e-02
1.800000000000000211e-02 5.023597266944928030e+00 8.315265963316399722e-02
1.899999999999999953e-02 4.851720097258523268e+00 7.555343981460486968e-02
2.000000000000000042e-02 4.885693492305729357e+00 6.877386329531562370e-02
2.100000000000000130e-02 4.863760772602837790e+00 6.527191700246665063e-02
2.200000000000000219e-02 4.699721362073460362e+00 6.152403095331964583e-02
2.300000000000000308e-02 4.676211718573295428e+00 5.801375758954784023e-02
2.400000000000000050e-02 4.715312749480065513e+00 5.458563620716397335e-02
2.500000000000000139e-02 4.510302068003429810e+00 5.242141641409814312e-02
2.600000000000000228e-02 4.354247828493386763e+00 5.018874125132610081e-02
2.699999999999999969e-02 4.332734448619041778e+00 4.778760587139866539e-02
2.800000000000000058e-02 4.300939422153481573e+00 4.560254157368388850e-02
2.900000000000000147e-02 4.171623280750571539e+00 4.432073709175286119e-02
3.000000000000000236e-02 4.130246398969636523e+00 4.298781835087477771e-02
3.100000000000000325e-02 4.057174138274671549e+00 4.204252287366066348e-02
3.200000000000000067e-02 3.929972392905814793e+00 3.959323799916874415e-02
3.300000000000000155e-02 3.835841425191667486e+00 3.943350450147534852e-02
3.400000000000000244e-02 3.809558133850725170e+00 3.822739156948937872e-02
3.499999999999999639e-02 3.671978523774723779e+00 3.711716400112961833e-02
3.599999999999999728e-02 3.640099770434473747e+00 3.679648138147183917e-02
3.699999999999999817e-02 3.536202697433128872e+00 3.534707947853402837e-02
3.799999999999999906e-02 3.495994467364964109e+00 3.486548115029895062e-02
3.899999999999999994e-02 3.326065104583426191e+00 3.380854094348361566e-02
4.000000000000000083e-02 3.337011865707793401e+00 3.298195163169167360e-02
4.100000000000000172e-02 3.236185934980182477e+00 3.233489590776320033e-02
4.199999999999999567e-02 3.163339183807009292e+00 3.196542543314630919e-02
4.299999999999999656e-02 3.111439445240228530e+00 3.143366980444108755e-02
