# q I conditional_sigma_fixed_C_no_cross_frame_covariance
5.000000000000000104e-03 2.786013197735854874e+02 2.385668239224039553e+02
6.000000000000000125e-03 2.004776729208605843e+02 1.082750134044300125e+02
7.000000000000000146e-03 1.599807977106934800e+02 5.277610957603571507e+01
8.000000000000000167e-03 1.470063055938453829e+02 2.853874804471506010e+01
9.000000000000001055e-03 1.396017503235503909e+02 1.819753026321934897e+01
1.000000000000000021e-02 1.488083801741291268e+02 1.316986127013904451e+01
1.099999999999999936e-02 1.486294438704285312e+02 1.015336400866299371e+01
1.200000000000000025e-02 1.425449343010260179e+02 8.112460778041061360e+00
1.300000000000000114e-02 1.374361097704543511e+02 6.863274483585979802e+00
1.400000000000000203e-02 1.251538494598487290e+02 5.762529189834131316e+00
1.499999999999999944e-02 1.207484428047096543e+02 4.987638556037684801e+00
1.600000000000000033e-02 1.180135240194103545e+02 4.347472025065461487e+00
1.700000000000000122e-02 1.103634564936112383e+02 3.811966806817669084e+00
1.800000000000000211e-02 1.208038922053659974e+02 3.455630580434704946e+00
1.899999999999999953e-02 1.132914908221361969e+02 3.174376738947631615e+00
2.000000000000000042e-02 1.127985403042277710e+02 2.904622273449024572e+00
2.100000000000000130e-02 1.090884979721444239e+02 2.696292644305392283e+00
2.200000000000000219e-02 1.039814949274497025e+02 2.546731581848839632e+00
2.300000000000000308e-02 1.115773721541238217e+02 2.367082144708623659e+00
2.400000000000000050e-02 1.047984505773554531e+02 2.252117688202223800e+00
2.500000000000000139e-02 1.044317218211813412e+02 2.161380068857982284e+00
2.600000000000000228e-02 1.062983530340947027e+02 2.058444018716692359e+00
2.699999999999999969e-02 9.930468501387638014e+01 1.966824344288840898e+00
2.800000000000000058e-02 9.889894067035987746e+01 1.861911013370230794e+00
2.900000000000000147e-02 1.004060578629410543e+02 1.806397776431278857e+00
3.000000000000000236e-02 9.400819582567811494e+01 1.743511389300998804e+00
3.100000000000000325e-02 9.853840327982263148e+01 1.700110537190301807e+00
3.200000000000000067e-02 8.815442228270464398e+01 1.620678972645361871e+00
3.300000000000000155e-02 9.284025955701501687e+01 1.603395673459155679e+00
3.400000000000000244e-02 8.803002338945394456e+01 1.551148460150086006e+00
3.499999999999999639e-02 8.576413821591540909e+01 1.506360732001807090e+00
3.599999999999999728e-02 8.595035993750302339e+01 1.473004392766797510e+00
3.699999999999999817e-02 8.755345225189407188e+01 1.440303129173386543e+00
3.799999999999999906e-02 8.142928278367196526e+01 1.406237834718537805e+00
3.899999999999999994e-02 8.190613171162237904e+01 1.379056820346230117e+00
4.000000000000000083e-02 7.784172750841096899e+01 1.349222290272990232e+00
4.100000000000000172e-02 7.418267350205036337e+01 1.316808831956005399e+00
4.199999999999999567e-02 7.219334785283936640e+01 1.295447231265137056e+00
4.299999999999999656e-02 7.071228350727706413e+01 1.267936761791700340e+00
4.399999999999999745e-02 6.998912628582603190e+01 1.243504612619115379e+00
4.499999999999999833e-02 6.920647515974559383e+01 1.225289447522958541e+00
4.599999999999999922e-02 6.807046166235734574e+01 1.193856891819075283e+00
4.700000000000000011e-02 6.605072880776913280e+01 1.175266879506946749e+00
4.800000000000000100e-02 6.687727004436233358e+01 1.160872327272393978e+00
4.899999999999999495e-02 6.106851322693288608e+01 1.135349118368777388e+00
5.000000000000000278e-02 6.495027339384233755e+01 1.131964393244013545e+00
5.200000000000000455e-02 5.934420002325438759e+01 7.672525713604771980e-01
5.400000000000000633e-02 5.653964356456635443e+01 7.501473567870711179e-01
5.600000000000000810e-02 5.459068054613513965e+01 7.530425760915631095e-01
5.800000000000000988e-02 5.239413759859050401e+01 7.560103777826289173e-01
6.000000000000001166e-02 4.788976625790407127e+01 7.422896275249775133e-01
6.200000000000001343e-02 4.835887359368361871e+01 7.073663109412108296e-01
6.400000000000001521e-02 4.660355769186332964e+01 6.879762035719556579e-01
6.600000000000001699e-02 4.340440326616517552e+01 6.695713540830765531e-01
6.800000000000001876e-02 4.046398295891105334e+01 6.497066939492261994e-01
7.000000000000002054e-02 3.932951165292121232e+01 6.378090882997672351e-01
7.200000000000002232e-02 3.698932856962163385e+01 6.293604287665713892e-01
7.400000000000002409e-02 3.544668565512750291e+01 6.260249258419670060e-01
7.600000000000002587e-02 3.457240384217157469e+01 6.094644937167174037e-01
7.800000000000002764e-02 3.322904368919220275e+01 6.052344368923098239e-01
8.000000000000002942e-02 3.139969325148143398e+01 6.121382811823108394e-01
8.200000000000003120e-02 3.012661088106761298e+01 6.087491927544957937e-01
8.400000000000003297e-02 2.892999747168067159e+01 5.868878703033801880e-01
8.600000000000003475e-02 2.810605435428445986e+01 5.723115123521296255e-01
8.800000000000003653e-02 2.665761061680307975e+01 5.766140908000165766e-01
9.000000000000003830e-02 2.557464314649500281e+01 5.759218601175699614e-01
9.200000000000004008e-02 2.511611009783406701e+01 5.695956885435661254e-01
9.400000000000004186e-02 2.314798807478558018e+01 5.656007942460939963e-01
9.600000000000004363e-02 2.343807002487136870e+01 5.661580520822696583e-01
9.800000000000004541e-02 2.202158894388329813e+01 5.620089952251421384e-01
1.000000000000000056e-01 2.048250729032897866e+01 5.561213572249474879e-01
1.050000000000000100e-01 1.950409579042512220e+01 3.427843625543522399e-01
1.100000000000000144e-01 1.848856765388306300e+01 3.354305103645963126e-01
1.150000000000000189e-01 1.671908797565992089e+01 3.284497744772665317e-01
1.200000000000000233e-01 1.487940513412669929e+01 3.213621075923562831e-01
1.250000000000000278e-01 1.492316966100996467e+01 3.252558288168310718e-01
1.300000000000000322e-01 1.281274061446200996e+01 3.270458872596025968e-01
1.350000000000000366e-01 1.293297778080584592e+01 3.143960113360093067e-01
1.400000000000000411e-01 1.171767768174578173e+01 3.088676466557546130e-01
1.450000000000000455e-01 1.097137971153263791e+01 3.041769371924296639e-01
1.500000000000000500e-01 1.032025106310339169e+01 3.153386755528890251e-01
1.550000000000000544e-01 9.897312767379828458e+00 3.171323961668780500e-01
1.600000000000000588e-01 8.765777585578231168e+00 3.190051707618647425e-01
1.650000000000000633e-01 8.647692122942423509e+00 3.215267249035176356e-01
1.700000000000000677e-01 7.956406614647365316e+00 3.227374036881922037e-01
1.750000000000000722e-01 7.101548785355046078e+00 3.200157605222565538e-01
1.800000000000000766e-01 7.496250211562999866e+00 2.788566246769670909e-01
1.850000000000000810e-01 7.304627876647808549e+00 2.768642408847669656e-01
1.900000000000000855e-01 6.708515247012124760e+00 2.678791546826849723e-01
1.950000000000000899e-01 5.929553407325919956e+00 2.713073553998844867e-01
2.000000000000000944e-01 5.955628795971929179e+00 2.765658448976620609e-01
2.050000000000000988e-01 5.825015079694580322e+00 2.784106086348819842e-01
2.100000000000001033e-01 5.106373456861418525e+00 2.731207217925714081e-01
2.150000000000001077e-01 5.399142979971049527e+00 2.783230551742439385e-01
2.200000000000001121e-01 5.022348164366785994e+00 2.761913019552503235e-01
2.250000000000001166e-01 4.430695575917198425e+00 2.706966713813346859e-01
2.300000000000001210e-01 4.703204569200758023e+00 2.656393060744929868e-01
2.350000000000001255e-01 5.058827049595183922e+00 2.765655421772890699e-01
2.400000000000001299e-01 3.997937730627596498e+00 2.912211781677053191e-01
2.450000000000001343e-01 4.059503360052834964e+00 2.884070340003944688e-01
2.500000000000001110e-01 3.776235644329414942e+00 3.018104612449886703e-01
2.550000000000001155e-01 4.184153640176837996e+00 2.933614012991491160e-01
2.600000000000001199e-01 3.695979602722012203e+00 3.053560283105265505e-01
2.650000000000001243e-01 3.937674080775561247e+00 2.920580945770325232e-01
2.700000000000001288e-01 3.960114479894573769e+00 3.085997758719650208e-01
2.750000000000001332e-01 3.825164922998026018e+00 2.954997969959182180e-01
2.800000000000001377e-01 3.739341895869960020e+00 3.006767896232882542e-01
2.850000000000001421e-01 3.697136270105996658e+00 2.979440420809023604e-01
2.900000000000001465e-01 3.249619924525310566e+00 2.949697260670515742e-01
2.950000000000001510e-01 3.994453435791613050e+00 2.931435116400949448e-01
3.000000000000001554e-01 2.983857343655700323e+00 2.990306659453758620e-01
3.050000000000001599e-01 2.585477986735209566e+00 3.009750157753527389e-01
3.100000000000001643e-01 2.672014342430954148e+00 3.008891451173581477e-01
3.150000000000001688e-01 3.316361417614368090e+00 2.955894571620905076e-01
3.200000000000001732e-01 3.292985497272617579e+00 2.788751986882767597e-01
3.250000000000001776e-01 2.730705226032191124e+00 2.797166141592080657e-01
3.300000000000001821e-01 2.958994225078582563e+00 2.798366579506748608e-01
3.350000000000001865e-01 3.301729719843900401e+00 2.858364106478780697e-01
3.400000000000001910e-01 2.501300537270915392e+00 2.683087783398720449e-01
3.450000000000001954e-01 2.029927758766204793e+00 2.816755396518017540e-01
3.500000000000001998e-01 2.466170326937199508e+00 2.614100759764096393e-01
3.550000000000002043e-01 2.773195416573360994e+00 2.676837137508336073e-01
3.600000000000002087e-01 2.787189414778437957e+00 2.720328372441395692e-01
3.650000000000002132e-01 2.481404144089851993e+00 2.663681483847091802e-01
3.700000000000002176e-01 2.287278509859030251e+00 2.648740535627366333e-01
3.750000000000002220e-01 2.648640312315084788e+00 2.652541482466686529e-01
3.800000000000002265e-01 2.434350620577870661e+00 2.701009687777370938e-01
3.850000000000002309e-01 2.587920470150304908e+00 2.521860193887375257e-01
3.900000000000002354e-01 2.595740547884234584e+00 2.754235451869782025e-01
3.950000000000002398e-01 2.306996138732328117e+00 2.697523330757891635e-01
4.000000000000002442e-01 2.246338196257920750e+00 2.568316831219846219e-01
4.050000000000002487e-01 2.059423098821718590e+00 2.424203155628502082e-01
4.100000000000002531e-01 2.154799102006427436e+00 2.436424662476719127e-01
4.150000000000002576e-01 2.195838836142372852e+00 2.396014528392282628e-01
