# q I sigma_saved_BIFT_input
1.200000000000000025e-02 4.748553675244014727e+00 1.233617387113676578e-01
1.300000000000000114e-02 4.732678367774614259e+00 1.025219156712322277e-01
1.400000000000000203e-02 4.583004962499314772e+00 8.801206370501009346e-02
1.499999999999999944e-02 4.543553039308611652e+00 7.483138453478808960e-02
1.600000000000000033e-02 4.513922484860453999e+00 6.510957937951832031e-02
1.700000000000000122e-02 4.417181975690868789e+00 5.790923378154425039e-02
1.800000000000000211e-02 4.421666304380526213e+00 5.258063793991980123e-02
1.899999999999999953e-02 4.261609425047912403e+00 4.848688289924839995e-02
2.000000000000000042e-02 4.251189899974258779e+00 4.397489041002815291e-02
2.100000000000000130e-02 4.164272509061546224e+00 4.118953188284433381e-02
2.200000000000000219e-02 4.095320271767671549e+00 3.869387378290421037e-02
2.300000000000000308e-02 4.081176828239702736e+00 3.606378921874894838e-02
2.400000000000000050e-02 4.008716321758761580e+00 3.416470704126323837e-02
2.500000000000000139e-02 3.903551126052605902e+00 3.268335190047581135e-02
2.600000000000000228e-02 3.842254286270927466e+00 3.114129499099878989e-02
2.699999999999999969e-02 3.823536634320262806e+00 2.997185666382775476e-02
2.800000000000000058e-02 3.730539236326544383e+00 2.807583090943234841e-02
2.900000000000000147e-02 3.654496850479069359e+00 2.752779844390597364e-02
3.000000000000000236e-02 3.596615105040283922e+00 2.674752150063549466e-02
3.100000000000000325e-02 3.524559637252151045e+00 2.588492675406837626e-02
3.200000000000000067e-02 3.408827400357300252e+00 2.465807975516437836e-02
3.300000000000000155e-02 3.388721769495037339e+00 2.432064002291485158e-02
3.400000000000000244e-02 3.275418890927407123e+00 2.360288732014723459e-02
3.499999999999999639e-02 3.240675919681609063e+00 2.294804633475332895e-02
3.599999999999999728e-02 3.173337425452857907e+00 2.258313811415132641e-02
3.699999999999999817e-02 3.110948405830890273e+00 2.191214093693200429e-02
3.799999999999999906e-02 3.044642409724298560e+00 2.148950937311702031e-02
3.899999999999999994e-02 2.936591769860826595e+00 2.092923925000702429e-02
4.000000000000000083e-02 2.901631858242203155e+00 2.043463154119225939e-02
4.100000000000000172e-02 2.825815141939599595e+00 2.001833468947934735e-02
4.199999999999999567e-02 2.752788800328154206e+00 1.972790002378298560e-02
4.299999999999999656e-02 2.715848934019599703e+00 1.937080546280745691e-02
4.399999999999999745e-02 2.630606002127233722e+00 1.898426164142571690e-02
4.499999999999999833e-02 2.569499005672918557e+00 1.861958459236492600e-02
4.599999999999999922e-02 2.509248583121340026e+00 1.813474359483265366e-02
4.700000000000000011e-02 2.471566370360844811e+00 1.794008923099329675e-02
4.800000000000000100e-02 2.421318827282352260e+00 1.763668450001818280e-02
4.899999999999999495e-02 2.350288892147478492e+00 1.733275441759019042e-02
5.000000000000000278e-02 2.312046627751848771e+00 1.722534872529116537e-02
5.200000000000000455e-02 2.181723214745935113e+00 1.167600055483671191e-02
5.400000000000000633e-02 2.075509424868425157e+00 1.138560586568417889e-02
5.600000000000000810e-02 1.983124021977515916e+00 1.145101702657414650e-02
5.800000000000000988e-02 1.873653136434881628e+00 1.144086315506058320e-02
6.000000000000001166e-02 1.801238815033154417e+00 1.127218174154842600e-02
6.200000000000001343e-02 1.723719946453209140e+00 1.073430859457848163e-02
6.400000000000001521e-02 1.652246321117430750e+00 1.042748498506102829e-02
6.600000000000001699e-02 1.560154006451397901e+00 1.013184309301885973e-02
6.800000000000001876e-02 1.486459967535781246e+00 9.863130708300263394e-03
7.000000000000002054e-02 1.409312186983962212e+00 9.664692282812832949e-03
7.200000000000002232e-02 1.355166038617301005e+00 9.540170737179592270e-03
7.400000000000002409e-02 1.304544777709750525e+00 9.477057510258199077e-03
7.600000000000002587e-02 1.245349085715830473e+00 9.224830747726885452e-03
7.800000000000002764e-02 1.184532153234830965e+00 9.168136077403231735e-03
8.000000000000002942e-02 1.139788981167269011e+00 9.256489919989467977e-03
8.200000000000003120e-02 1.083944389259537511e+00 9.200635157778625645e-03
8.400000000000003297e-02 1.041610222721009338e+00 8.864817185909857483e-03
8.600000000000003475e-02 1.019950561148631474e+00 8.652625323631946488e-03
8.800000000000003653e-02 9.558944258548477402e-01 8.734116062014980059e-03
9.000000000000003830e-02 9.272570207665421504e-01 8.729066619813850153e-03
9.200000000000004008e-02 9.027393282010476305e-01 8.601003569994315062e-03
9.400000000000004186e-02 8.642185476566854874e-01 8.557985013020305912e-03
9.600000000000004363e-02 8.360420920776143738e-01 8.554422200890218417e-03
9.800000000000004541e-02 7.976014835409265258e-01 8.506185206532722656e-03
1.000000000000000056e-01 7.699159571703566574e-01 8.417963967947104942e-03
1.050000000000000100e-01 7.055139416621467596e-01 5.187203347373369258e-03
1.100000000000000144e-01 6.487773937536824853e-01 5.071839058017047625e-03
1.150000000000000189e-01 6.047142653092706377e-01 4.957397972613388805e-03
1.200000000000000233e-01 5.458492618484633851e-01 4.864191426035188379e-03
1.250000000000000278e-01 5.148046342517056395e-01 4.910338802190343868e-03
1.300000000000000322e-01 4.763454170727637327e-01 4.948312608705598796e-03
1.350000000000000366e-01 4.529987247819157736e-01 4.751616626680005805e-03
1.400000000000000411e-01 4.173345770161296930e-01 4.662120968979844779e-03
1.450000000000000455e-01 3.915504214964303786e-01 4.583906787959653693e-03
1.500000000000000500e-01 3.676341074866232850e-01 4.760284992624637911e-03
1.550000000000000544e-01 3.403964556961573962e-01 4.786949651711983403e-03
1.600000000000000588e-01 3.162866743240488332e-01 4.811049366554178038e-03
1.650000000000000633e-01 3.072947649482645205e-01 4.846885529823276827e-03
1.700000000000000677e-01 2.850286943632209802e-01 4.865420927824812281e-03
1.750000000000000722e-01 2.724188562068092234e-01 4.824138626240332545e-03
1.800000000000000766e-01 2.601312573306501230e-01 4.193597681189347413e-03
1.850000000000000810e-01 2.471762741338976721e-01 4.160089497587387587e-03
1.900000000000000855e-01 2.318661981807301764e-01 4.046968016366885891e-03
1.950000000000000899e-01 2.175617007827646832e-01 4.048242562917264524e-03
2.000000000000000944e-01 2.142263651349517461e-01 4.144820809539633694e-03
2.050000000000000988e-01 2.016839975198611856e-01 4.205307128431101833e-03
2.100000000000001033e-01 1.925747678907064608e-01 4.130040421530370258e-03
2.150000000000001077e-01 1.923950788964124969e-01 4.233225863977247566e-03
2.200000000000001121e-01 1.821414286848747344e-01 4.089286311627019464e-03
2.250000000000001166e-01 1.742669826943926137e-01 4.112709319831910071e-03
2.300000000000001210e-01 1.674600729350264328e-01 3.981292676878658149e-03
2.350000000000001255e-01 1.668915755294703984e-01 4.157254891203060986e-03
2.400000000000001299e-01 1.499997839169278646e-01 4.433862158998455247e-03
2.450000000000001343e-01 1.481004915084763729e-01 4.296205444859456553e-03
