# q I sigma_shared_baseline
5.000000000000000104e-03 5.622747665499566061e+00 5.211453130262930777e+00
6.000000000000000125e-03 5.971644710041727144e+00 2.393704809167572112e+00
7.000000000000000146e-03 6.111726685886175403e+00 1.168249017073458296e+00
8.000000000000000167e-03 5.615326471295143840e+00 6.377947105239247794e-01
9.000000000000001055e-03 5.520593734692529786e+00 3.966392115071267765e-01
1.000000000000000021e-02 5.682488631048317806e+00 2.896085630262628663e-01
1.099999999999999936e-02 5.363479060788748143e+00 2.263989225717488452e-01
1.200000000000000025e-02 5.354508922133836002e+00 1.837509537688598316e-01
1.300000000000000114e-02 5.157009853246923292e+00 1.544071479929062241e-01
1.400000000000000203e-02 5.245117088437952546e+00 1.332099071044175742e-01
1.499999999999999944e-02 5.099705841162962550e+00 1.138156351011320039e-01
1.600000000000000033e-02 5.162450346523520750e+00 9.955830506873777908e-02
1.700000000000000122e-02 5.096494070004579768e+00 8.850212997930025083e-02
1.800000000000000211e-02 4.989806624596030638e+00 8.209714943674496779e-02
1.899999999999999953e-02 4.805702999266113551e+00 7.459208885059555316e-02
2.000000000000000042e-02 4.828183882323051179e+00 6.793130067450735277e-02
2.100000000000000130e-02 4.775812862060444530e+00 6.450321923423880943e-02
2.200000000000000219e-02 4.657847300275450131e+00 6.078411364172351533e-02
2.300000000000000308e-02 4.631699447528005109e+00 5.735380544049235862e-02
2.400000000000000050e-02 4.668513070663355968e+00 5.397854149966738874e-02
2.500000000000000139e-02 4.470900305499019289e+00 5.183493495999375034e-02
2.600000000000000228e-02 4.309079190576352580e+00 4.965902559944156830e-02
2.699999999999999969e-02 4.288391448889756319e+00 4.726803612500386775e-02
2.800000000000000058e-02 4.262392529745135050e+00 4.511828790021522873e-02
2.900000000000000147e-02 4.127591499695165922e+00 4.385319296108598081e-02
3.000000000000000236e-02 4.100572858370314044e+00 4.251384801352133674e-02
3.100000000000000325e-02 4.013550124736625868e+00 4.161473399303694531e-02
3.200000000000000067e-02 3.896629437329584444e+00 3.915925697984052462e-02
3.300000000000000155e-02 3.801230081309762365e+00 3.901222395769833595e-02
3.400000000000000244e-02 3.771522829648751518e+00 3.781547568318128355e-02
3.499999999999999639e-02 3.643302255260248312e+00 3.672192884399006624e-02
3.599999999999999728e-02 3.596525289387445312e+00 3.642293529959081400e-02
3.699999999999999817e-02 3.511204042953864679e+00 3.497007360487291994e-02
3.799999999999999906e-02 3.468974595622400070e+00 3.450850349261600641e-02
3.899999999999999994e-02 3.288964412168382534e+00 3.344881698657940772e-02
4.000000000000000083e-02 3.309135919270200343e+00 3.263335224234566873e-02
4.100000000000000172e-02 3.207111810142457387e+00 3.198749380053155650e-02
4.199999999999999567e-02 3.139044767788869983e+00 3.163395767669001379e-02
4.299999999999999656e-02 3.085638244830518850e+00 3.110512764072113565e-02
4.399999999999999745e-02 2.972638632185481633e+00 3.039474874023808532e-02
4.499999999999999833e-02 2.905475669990387644e+00 2.961325001958073355e-02
4.599999999999999922e-02 2.830957589582195677e+00 2.862844074477357420e-02
4.700000000000000011e-02 2.844232425083787597e+00 2.878586893650368628e-02
4.800000000000000100e-02 2.728881262854178313e+00 2.809591764207199777e-02
4.899999999999999495e-02 2.687764468108531091e+00 2.762856999350229992e-02
5.000000000000000278e-02 2.657651208485817040e+00 2.731648244051073857e-02
5.200000000000000455e-02 2.459109423330188005e+00 1.846903634738505939e-02
5.400000000000000633e-02 2.336680376679006521e+00 1.806089238215798087e-02
5.600000000000000810e-02 2.242348751434373177e+00 1.814921821515225533e-02
5.800000000000000988e-02 2.100773506231577770e+00 1.798626324193363518e-02
6.000000000000001166e-02 2.023266022747022941e+00 1.762969903818404835e-02
6.200000000000001343e-02 1.953788586413842676e+00 1.688618268913172002e-02
6.400000000000001521e-02 1.867216159663378283e+00 1.634937418792868635e-02
6.600000000000001699e-02 1.760532228192388082e+00 1.579780072611213990e-02
6.800000000000001876e-02 1.655165568180885671e+00 1.531312156367452618e-02
7.000000000000002054e-02 1.591579355377580995e+00 1.500428463001218272e-02
7.200000000000002232e-02 1.531886166477192557e+00 1.478182069713888588e-02
7.400000000000002409e-02 1.474771148960580147e+00 1.467529169926374243e-02
7.600000000000002587e-02 1.396845599934062987e+00 1.416714501346344815e-02
7.800000000000002764e-02 1.343209550160154642e+00 1.411060319341160552e-02
8.000000000000002942e-02 1.291781443446327726e+00 1.423569105669454660e-02
8.200000000000003120e-02 1.212417993861914622e+00 1.412607890253121147e-02
8.400000000000003297e-02 1.189648319312247349e+00 1.357960453938963745e-02
8.600000000000003475e-02 1.144859301118096306e+00 1.323057914603667506e-02
8.800000000000003653e-02 1.087245289031529616e+00 1.335205476273103667e-02
9.000000000000003830e-02 1.057787196285933318e+00 1.328245980588029125e-02
9.200000000000004008e-02 1.011982670819987939e+00 1.308531304479671441e-02
9.400000000000004186e-02 9.793023322001999098e-01 1.300227702255285847e-02
9.600000000000004363e-02 9.177292571569837243e-01 1.302911808404862495e-02
9.800000000000004541e-02 9.062971976228900717e-01 1.290913115340902584e-02
1.000000000000000056e-01 8.677563218945497647e-01 1.272921727053363469e-02
1.050000000000000100e-01 7.939239051636706179e-01 7.824474305950733163e-03
1.100000000000000144e-01 7.261946331875235305e-01 7.624102585910392041e-03
1.150000000000000189e-01 6.787578976509947015e-01 7.444025884199141803e-03
1.200000000000000233e-01 6.253695889963906129e-01 7.289967302041305657e-03
1.250000000000000278e-01 5.791661077274444791e-01 7.350354549619878171e-03
1.300000000000000322e-01 5.391915348485761816e-01 7.403590814388680448e-03
1.350000000000000366e-01 5.006821831704332260e-01 7.084538455280862956e-03
1.400000000000000411e-01 4.753357331161732757e-01 6.958599621879374593e-03
1.450000000000000455e-01 4.430611768001439521e-01 6.813663524804137832e-03
1.500000000000000500e-01 4.074620920191925344e-01 7.074524062672117933e-03
1.550000000000000544e-01 3.743189493684900282e-01 7.101819526308983908e-03
1.600000000000000588e-01 3.620724536308643215e-01 7.128774863128213048e-03
1.650000000000000633e-01 3.372479568143457174e-01 7.163451532840233241e-03
1.700000000000000677e-01 3.186923999634910243e-01 7.187224524431747898e-03
1.750000000000000722e-01 3.127867882180022652e-01 7.127432204937187397e-03
1.800000000000000766e-01 2.826571889401158777e-01 6.138151796209885026e-03
1.850000000000000810e-01 2.698505103384180037e-01 6.232399869641590089e-03
1.900000000000000855e-01 2.611653851546226202e-01 6.033410774410714709e-03
1.950000000000000899e-01 2.449316981938908233e-01 6.066812314080673348e-03
2.000000000000000944e-01 2.364576398058908513e-01 6.134193967168927002e-03
2.050000000000000988e-01 2.222664980892614106e-01 6.220672476960565668e-03
2.100000000000001033e-01 2.166643103737961040e-01 6.018959004989025627e-03
2.150000000000001077e-01 2.253346548425326501e-01 6.279196371013853230e-03
2.200000000000001121e-01 2.054205819403750188e-01 5.835745150545591439e-03
2.250000000000001166e-01 1.969758212521130480e-01 6.122430797765546218e-03
2.300000000000001210e-01 1.854567053350565931e-01 5.895842920464080053e-03
2.350000000000001255e-01 1.832361985669484217e-01 6.114761966009811880e-03
2.400000000000001299e-01 1.675645022258823724e-01 6.299219865567615845e-03
2.450000000000001343e-01 1.542776245066388163e-01 6.306227547939383289e-03
2.500000000000001110e-01 1.668097857733879530e-01 6.607272334051824368e-03
2.550000000000001155e-01 1.574078323901537679e-01 6.523723143090965661e-03
2.600000000000001199e-01 1.487341337366387406e-01 6.703653696200664348e-03
2.650000000000001243e-01 1.460925557432711241e-01 6.525910629402082754e-03
2.700000000000001288e-01 1.429287390592316465e-01 6.827528817663162247e-03
2.750000000000001332e-01 1.473681526260992303e-01 6.508829237191249978e-03
2.800000000000001377e-01 1.311140527484982166e-01 6.552198880996909502e-03
2.850000000000001421e-01 1.313507459709893355e-01 6.664590814539799943e-03
2.900000000000001465e-01 1.414658246007675646e-01 6.602517220329907552e-03
2.950000000000001510e-01 1.210458288407538913e-01 6.638488922078964079e-03
3.000000000000001554e-01 1.249463144114165841e-01 6.522773120088465153e-03
3.050000000000001599e-01 1.186016527198158754e-01 6.557524525126859002e-03
3.100000000000001643e-01 1.190356548937055586e-01 6.490282889553474280e-03
3.150000000000001688e-01 1.103037611069491580e-01 6.531965654423442340e-03
3.200000000000001732e-01 1.166369208585252559e-01 6.312637563421876277e-03
3.250000000000001776e-01 1.145987739187398491e-01 6.234833671261103515e-03
3.300000000000001821e-01 1.055649337925749359e-01 6.054792414735637139e-03
3.350000000000001865e-01 1.090716973060418954e-01 5.969854994214396707e-03
3.400000000000001910e-01 9.471821658881567074e-02 5.868885009373712644e-03
3.450000000000001954e-01 9.753935999462903794e-02 6.158436654340221535e-03
3.500000000000001998e-01 9.639544956888108918e-02 5.650050421098895548e-03
3.550000000000002043e-01 1.026984625676436308e-01 6.065874551732811960e-03
3.600000000000002087e-01 1.017038612129268910e-01 5.781716666182405359e-03
3.650000000000002132e-01 9.111869778552746102e-02 5.723867208375746016e-03
3.700000000000002176e-01 1.050440931483299090e-01 5.752636757596614990e-03
3.750000000000002220e-01 9.986714257382257875e-02 5.687014288607075523e-03
3.800000000000002265e-01 9.618613285278604375e-02 5.921178932844152649e-03
3.850000000000002309e-01 9.018393993726142588e-02 5.474142672866445271e-03
3.900000000000002354e-01 8.357328188270984892e-02 6.042109325382829556e-03
3.950000000000002398e-01 8.913222954546885790e-02 5.953537223701877400e-03
4.000000000000002442e-01 8.143080985740004663e-02 5.655658951443183827e-03
4.050000000000002487e-01 8.483737493699239351e-02 5.487456183366384507e-03
4.100000000000002531e-01 8.922369810265270984e-02 5.360895981754694971e-03
4.150000000000002576e-01 8.395601183492890085e-02 5.127554697583555469e-03
4.200000000000002620e-01 8.378212662093088847e-02 5.247000917510562246e-03
4.250000000000002665e-01 8.440182524734278491e-02 5.340755307315528042e-03
4.300000000000002709e-01 7.972979299126782549e-02 5.239251623608327628e-03
4.350000000000002753e-01 8.398897549721862088e-02 5.389291617648727349e-03
4.400000000000002798e-01 8.508035225770022025e-02 5.102822931772778639e-03
4.450000000000002842e-01 7.720715046307222162e-02 5.020214836076207672e-03
4.500000000000002887e-01 7.694652486630358668e-02 4.951651621880227491e-03
4.550000000000002931e-01 8.309150068854256888e-02 4.978311536159825759e-03
4.600000000000002975e-01 7.772883764568062903e-02 4.810204310835733237e-03
4.650000000000003020e-01 7.189625695651066795e-02 4.980782758973269220e-03
4.700000000000003064e-01 7.771056793060221457e-02 4.894096734847125547e-03
4.750000000000003109e-01 7.808353591477411315e-02 4.950621033670940703e-03
4.800000000000003153e-01 7.219297102941167610e-02 5.311581714401655135e-03
4.850000000000003197e-01 7.135174885396311506e-02 5.639311311224383221e-03
4.900000000000003242e-01 6.814776590727836258e-02 4.871338291126893656e-03
4.950000000000003286e-01 7.484833447025768249e-02 4.792438323246267853e-03
5.000000000000000000e-01 7.189973211609278214e-02 4.670352364383401067e-03
5.100000000000000089e-01 6.738361179206361906e-02 3.323846994399589673e-03
5.200000000000000178e-01 7.176381411110645259e-02 3.289671045769109944e-03
5.300000000000000266e-01 6.585046790403592532e-02 3.271635547171603334e-03
5.400000000000000355e-01 6.851079485757910481e-02 3.205552074980729926e-03
5.500000000000000444e-01 6.438118975627397933e-02 3.122324871364170161e-03
5.600000000000000533e-01 6.450630058136645750e-02 3.122242843911158736e-03
5.700000000000000622e-01 6.396268401212761023e-02 3.118680686668768264e-03
5.800000000000000711e-01 6.139659847153849936e-02 3.049608019504935087e-03
5.900000000000000799e-01 6.085585459094908917e-02 2.948150873662491386e-03
6.000000000000000888e-01 6.236168655151124590e-02 2.983463727306883122e-03
6.100000000000000977e-01 5.875796240406679083e-02 2.947034910592918628e-03
6.200000000000001066e-01 5.536637170722916862e-02 2.867160995209385495e-03
6.300000000000001155e-01 5.653632406713023778e-02 2.919917291187202127e-03
6.400000000000001243e-01 5.694483355600023222e-02 2.809185290409353317e-03
6.500000000000001332e-01 5.515812482668230182e-02 2.827712857413701691e-03
6.600000000000001421e-01 5.519004188959293622e-02 2.823204407361015311e-03
6.700000000000001510e-01 5.544443913923265826e-02 2.828113476256115429e-03
6.800000000000001599e-01 5.076055698556506540e-02 2.737780558336208418e-03
6.900000000000001688e-01 5.353727133548071698e-02 2.743627778399388133e-03
7.000000000000001776e-01 5.074179970730681444e-02 2.669328536223911953e-03
7.100000000000001865e-01 5.304105414490077608e-02 2.716028276232519603e-03
7.200000000000001954e-01 4.858774095298314805e-02 2.649999995106207176e-03
7.300000000000002043e-01 4.973794075472776771e-02 2.702164263012969431e-03
7.400000000000002132e-01 4.741302231371920251e-02 2.590214173664883660e-03
7.500000000000002220e-01 4.773831977175144181e-02 2.604909380080427071e-03
7.600000000000002309e-01 5.028900953935310641e-02 2.591737600914245220e-03
7.700000000000002398e-01 4.590197026032056399e-02 2.579383533334659185e-03
7.800000000000002487e-01 4.478556662293979584e-02 2.585094957353747946e-03
7.900000000000002576e-01 4.345898360709332664e-02 2.571305407386904884e-03
8.000000000000002665e-01 4.481294694504563830e-02 2.558685384191064158e-03
8.100000000000002753e-01 4.353511572804812796e-02 2.495735831548796194e-03
8.200000000000002842e-01 4.514581801849306547e-02 2.496123678226970944e-03
8.300000000000002931e-01 4.517467070983338662e-02 2.550924164953362588e-03
8.400000000000003020e-01 3.980465567626031986e-02 2.524745249673236627e-03
8.500000000000003109e-01 3.968359766276074313e-02 2.520315490009359446e-03
8.600000000000003197e-01 3.860553998792398689e-02 2.496262603661200414e-03
8.700000000000003286e-01 4.046479762266141922e-02 2.463577351618376123e-03
8.800000000000003375e-01 3.763618790479795334e-02 2.512734147063468582e-03
8.900000000000003464e-01 4.085063819707030613e-02 2.386450993893454112e-03
9.000000000000003553e-01 3.988783767510810374e-02 2.339265019393860310e-03
9.100000000000003642e-01 3.907620910004082349e-02 2.258512884647118427e-03
9.200000000000003730e-01 3.981763128022827725e-02 2.216364567295741380e-03
9.300000000000003819e-01 3.689252855597470460e-02 2.250538600680111832e-03
9.400000000000003908e-01 3.706804347993872956e-02 2.205972644687948479e-03
9.500000000000003997e-01 3.976332551338603721e-02 2.211380832535077105e-03
9.600000000000004086e-01 3.903024343136535235e-02 2.137090803545915480e-03
