# q I sigma_saved_BIFT_input
1.200000000000000025e-02 4.434973677668649472e+00 1.164137141423412097e-01
1.300000000000000114e-02 4.410931471652141944e+00 9.671509994164970148e-02
1.400000000000000203e-02 4.289915082048084471e+00 8.310071238432119312e-02
1.499999999999999944e-02 4.253293197319629293e+00 7.051428360807748819e-02
1.600000000000000033e-02 4.203910614887190533e+00 6.136841821320796614e-02
1.700000000000000122e-02 4.117563656545558004e+00 5.449070582007653485e-02
1.800000000000000211e-02 4.143359835039119865e+00 4.932981837371779726e-02
1.899999999999999953e-02 3.989350888819452212e+00 4.556833909764253926e-02
2.000000000000000042e-02 3.975726780636831492e+00 4.119027005084976295e-02
2.100000000000000130e-02 3.884480792954421613e+00 3.853646466257894948e-02
2.200000000000000219e-02 3.836195485221473245e+00 3.620381934942254465e-02
2.300000000000000308e-02 3.808887298505077013e+00 3.371469897519095010e-02
2.400000000000000050e-02 3.740913748280455753e+00 3.191811026679871460e-02
2.500000000000000139e-02 3.650974595197432837e+00 3.054017718032169329e-02
2.600000000000000228e-02 3.608508310011825149e+00 2.905361443062125931e-02
2.699999999999999969e-02 3.566595424366704403e+00 2.796166862352693697e-02
2.800000000000000058e-02 3.481781301544203178e+00 2.622584116736047938e-02
2.900000000000000147e-02 3.412056085073116307e+00 2.563481219074318501e-02
3.000000000000000236e-02 3.367892293004799864e+00 2.495306045297468467e-02
3.100000000000000325e-02 3.302640424045719225e+00 2.412076524966635938e-02
3.200000000000000067e-02 3.185440716657815141e+00 2.302721823173409579e-02
3.300000000000000155e-02 3.170175590392381171e+00 2.265522419345826488e-02
3.400000000000000244e-02 3.065808540459714404e+00 2.203803592871719091e-02
3.499999999999999639e-02 3.029192109650181042e+00 2.137044282128459233e-02
3.599999999999999728e-02 2.961111423870497195e+00 2.104656207191688000e-02
3.699999999999999817e-02 2.913071058420714898e+00 2.043090143198887307e-02
3.799999999999999906e-02 2.844635366420183775e+00 2.000319173419656815e-02
3.899999999999999994e-02 2.748503545883064003e+00 1.952803153267214029e-02
4.000000000000000083e-02 2.716263995875735748e+00 1.905000365913622068e-02
