# q_A^-1 corrected_I conditional_sigma; independently selected residual baseline
6.000000000000000125e-03 3.613139601738164508e+00 5.725744492950112230e-01
7.000000000000000146e-03 2.733274727003416782e+00 2.666849175577487574e-01
8.000000000000000167e-03 2.458596886999979247e+00 1.622224865685842343e-01
9.000000000000001055e-03 2.296361587325778331e+00 1.066289365343373596e-01
1.000000000000000021e-02 2.078268963402162939e+00 7.859536040490205933e-02
1.099999999999999936e-02 1.899475272748301302e+00 6.374869310736781813e-02
1.200000000000000025e-02 1.857417771652211780e+00 5.564336332038120198e-02
1.300000000000000114e-02 1.775306301393178465e+00 4.828515242911441546e-02
1.400000000000000203e-02 1.814045417696783069e+00 4.409235357994470417e-02
1.499999999999999944e-02 1.770960815935166854e+00 3.989321133849391826e-02
1.600000000000000033e-02 1.704073803862119707e+00 3.658390632276472404e-02
1.700000000000000122e-02 1.758420572920508240e+00 3.324156780995963373e-02
1.800000000000000211e-02 1.722288478356661878e+00 3.091588131656880858e-02
1.899999999999999953e-02 1.658054107350233286e+00 2.948140429635559903e-02
2.000000000000000042e-02 1.649248730876361480e+00 2.782796685089385449e-02
2.100000000000000130e-02 1.653612451569672626e+00 2.644626429841207341e-02
2.200000000000000219e-02 1.586887106548888760e+00 2.534608929195864002e-02
2.300000000000000308e-02 1.593868857296666830e+00 2.422207725645797102e-02
2.400000000000000050e-02 1.549872338964045637e+00 2.340268767168423442e-02
2.500000000000000139e-02 1.535583674385337716e+00 2.262076184780428476e-02
2.600000000000000228e-02 1.492974751670300249e+00 2.209019824961489659e-02
2.699999999999999969e-02 1.463988656003389899e+00 2.140922388578290342e-02
2.800000000000000058e-02 1.470578859285329498e+00 2.065834256764836549e-02
2.900000000000000147e-02 1.450805094263597272e+00 2.033760340627668514e-02
3.000000000000000236e-02 1.434876687638504622e+00 1.994278681305050940e-02
3.100000000000000325e-02 1.418720395699823555e+00 1.949892305236006207e-02
3.200000000000000067e-02 1.390735757722455723e+00 1.905056864787664159e-02
3.300000000000000155e-02 1.382427167581246952e+00 1.863253799019424367e-02
3.400000000000000244e-02 1.317000861672182888e+00 1.817584092961353759e-02
3.499999999999999639e-02 1.348545938886250406e+00 1.791875010311317837e-02
3.599999999999999728e-02 1.296588065505211329e+00 1.766862901173478495e-02
3.699999999999999817e-02 1.301248191879287308e+00 1.745457081795872417e-02
3.799999999999999906e-02 1.261001594589254982e+00 1.715324776307835739e-02
3.899999999999999994e-02 1.221971480508567520e+00 1.670043849465110974e-02
4.000000000000000083e-02 1.228792456918812448e+00 1.661117434770218934e-02
4.100000000000000172e-02 1.185174605917090007e+00 1.630023510427946673e-02
4.199999999999999567e-02 1.195801715417182054e+00 1.608923912487106311e-02
4.299999999999999656e-02 1.141242361732123456e+00 1.572651641205195794e-02
4.399999999999999745e-02 1.103951563125596946e+00 1.547306081161915238e-02
4.499999999999999833e-02 1.105563390930628387e+00 1.548204974529390418e-02
4.599999999999999922e-02 1.073075789230931498e+00 1.507758974031107868e-02
4.700000000000000011e-02 1.072826534735953352e+00 1.479057988845344958e-02
4.800000000000000100e-02 1.040771184846436714e+00 1.453214757121167565e-02
4.899999999999999495e-02 9.954763571221986185e-01 1.443816236308599447e-02
5.000000000000000278e-02 9.864599703361324190e-01 1.426351952655563124e-02
5.200000000000000455e-02 9.553046956191124650e-01 9.872635749789006321e-03
5.400000000000000633e-02 9.279838337120409619e-01 9.603091160987934152e-03
5.600000000000000810e-02 8.710637275821262460e-01 9.610441967330447463e-03
5.800000000000000988e-02 8.649492379013267174e-01 9.769027880118259094e-03
6.000000000000001166e-02 8.070993070888138332e-01 9.694718766254044329e-03
6.200000000000001343e-02 7.867475058900884610e-01 9.306867737442081276e-03
6.400000000000001521e-02 7.514330778949717127e-01 9.011657769227571571e-03
6.600000000000001699e-02 7.146478052740565801e-01 8.823893437972074594e-03
6.800000000000001876e-02 6.890040802633263795e-01 8.591928449738986048e-03
7.000000000000002054e-02 6.633699073285308501e-01 8.447982880459619856e-03
7.200000000000002232e-02 6.361032733821835317e-01 8.251581786502358920e-03
7.400000000000002409e-02 6.185656820930226507e-01 8.316657925016740158e-03
7.600000000000002587e-02 5.859567435793248125e-01 8.215924904824964403e-03
7.800000000000002764e-02 5.598293891302923431e-01 7.982977377435578059e-03
8.000000000000002942e-02 5.546074423150607613e-01 8.052382712519097832e-03
8.200000000000003120e-02 5.289344005786719149e-01 8.109480822811824391e-03
8.400000000000003297e-02 5.038815799631723991e-01 8.046385176592542321e-03
8.600000000000003475e-02 4.894580330781549971e-01 7.771699401519198934e-03
8.800000000000003653e-02 4.718754588303379904e-01 7.712208773628223893e-03
9.000000000000003830e-02 4.461426692269894745e-01 7.783901168791574655e-03
9.200000000000004008e-02 4.320647644038467794e-01 7.737901782948170860e-03
9.400000000000004186e-02 4.188960349438320963e-01 7.670679731436437152e-03
9.600000000000004363e-02 4.088409475422788986e-01 7.642551658981272360e-03
9.800000000000004541e-02 3.909950879943320801e-01 7.619890874670334248e-03
1.000000000000000056e-01 3.791214976271668480e-01 7.586212856815396574e-03
1.050000000000000100e-01 3.498655327352866440e-01 4.709953944938752475e-03
1.100000000000000144e-01 3.170801515318550923e-01 4.615505987354711660e-03
1.150000000000000189e-01 2.961581865124086055e-01 4.530624022169688417e-03
1.200000000000000233e-01 2.623642365852872915e-01 4.438529885330245832e-03
1.250000000000000278e-01 2.462691681051589199e-01 4.415036551301951794e-03
1.300000000000000322e-01 2.249934421354003178e-01 4.538363884769904162e-03
1.350000000000000366e-01 2.101041374120138083e-01 4.375512842068480721e-03
1.400000000000000411e-01 1.916988371909240929e-01 4.285734885778080469e-03
1.450000000000000455e-01 1.782918031573215156e-01 4.212256529744218270e-03
1.500000000000000500e-01 1.677215353898390271e-01 4.241215987586214632e-03
1.550000000000000544e-01 1.559608682126155110e-01 4.364344180081641475e-03
1.600000000000000588e-01 1.385681651639606993e-01 4.470202712467057950e-03
1.650000000000000633e-01 1.353027264962132492e-01 4.409914539593355262e-03
1.700000000000000677e-01 1.246343883634844218e-01 4.450341147870708752e-03
