5.000000000000000104e-03 7.545392510530964714e+00 2.939674625835099864e+00
6.000000000000000125e-03 6.780687235491912546e+00 1.335900027674672641e+00
7.000000000000000146e-03 5.904832901887075103e+00 6.526101985788536064e-01
8.000000000000000167e-03 5.377398824547679368e+00 3.536999207112076493e-01
9.000000000000001055e-03 5.028342991909439341e+00 2.243602993284688485e-01
1.000000000000000021e-02 4.812915596136178031e+00 1.616290165869881945e-01
1.099999999999999936e-02 4.664009899563798633e+00 1.258696968747048950e-01
1.200000000000000025e-02 4.639563577502263669e+00 1.008941595224340376e-01
1.300000000000000114e-02 4.572422588142415201e+00 8.446100739047111838e-02
1.400000000000000203e-02 4.464006727633538674e+00 7.229265811629501104e-02
1.499999999999999944e-02 4.372170845302657760e+00 6.197170317938210243e-02
1.600000000000000033e-02 4.369117147924962197e+00 5.377160016333330794e-02
1.700000000000000122e-02 4.296003586077042691e+00 4.816422333683580831e-02
1.800000000000000211e-02 4.220278244853177263e+00 4.367066917430872247e-02
1.899999999999999953e-02 4.121610488194932032e+00 4.020226932974277356e-02
2.000000000000000042e-02 4.077990571646360252e+00 3.662551754550777416e-02
2.100000000000000130e-02 4.049451991042684718e+00 3.431459387643315262e-02
2.200000000000000219e-02 3.943708771598988250e+00 3.232298221139047467e-02
2.300000000000000308e-02 3.880244852349970852e+00 3.014897028136778040e-02
2.400000000000000050e-02 3.874041813606892148e+00 2.853962193575109926e-02
2.500000000000000139e-02 3.766010395986605364e+00 2.732628395486751127e-02
2.600000000000000228e-02 3.687753381981597744e+00 2.602982316824621264e-02
2.699999999999999969e-02 3.663972427715262992e+00 2.499995871988998017e-02
2.800000000000000058e-02 3.593848055286770649e+00 2.357223094417074116e-02
2.900000000000000147e-02 3.500512114684668052e+00 2.306873159046518226e-02
3.000000000000000236e-02 3.425646477447041427e+00 2.239879687850086787e-02
3.100000000000000325e-02 3.405502087401701683e+00 2.167386559724010855e-02
3.200000000000000067e-02 3.301723327477906977e+00 2.067393898040562408e-02
3.300000000000000155e-02 3.243350912304142408e+00 2.038918476821326153e-02
